Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G01270.1	0	0	0	0
transcript:AT1G01870.1	0	0	0	0
transcript:AT1G01890.1	0	0	0	0
transcript:AT1G02480.1	0	0	0	0
transcript:AT1G02600.1	0	0	0	0
transcript:AT1G02760.1	0	0	0	0
transcript:AT1G03515.1	0	0	0	0
transcript:AT1G03570.1	0	0	0	0
transcript:AT1G03640.1	0	0	0	0
transcript:AT1G04320.1	0	0	0	0
transcript:AT1G04720.1	0	0	0	0
transcript:AT1G05390.1	0	0	0	0
transcript:AT1G05980.1	0	0	0	0
transcript:AT1G06480.1	0	0	0	0
transcript:AT1G06610.1	0	0	0	0
transcript:AT1G06860.1	0	0	0	0
transcript:AT1G06880.1	0	0	0	0
transcript:AT1G07100.1	0	0	0	0
transcript:AT1G07580.1	0	0	0	0
transcript:AT1G07760.1	0	0	0	0
transcript:AT1G08240.1	0	0	0	0
transcript:AT1G08870.1	0	0	0	0
transcript:AT1G08950.1	0	0	0	0
transcript:AT1G09110.1	0	0	0	0
transcript:AT1G10440.1	0	0	0	0
transcript:AT1G11010.1	0	0	0	0
transcript:AT1G11030.1	0	0	0	0
transcript:AT1G11550.1	0	0	0	0
transcript:AT1G11640.1	0	1	0	0
transcript:AT1G12510.1	0	0	0	0
transcript:AT1G12590.1	0	0	0	0
transcript:AT1G13010.1	0	0	0	1
transcript:AT1G13240.1	0	0	0	0
transcript:AT1G13720.1	0	0	0	0
transcript:AT1G13840.1	0	0	0	0
transcript:AT1G13850.1	0	0	0	0
transcript:AT1G15090.1	0	2	0	0
transcript:AT1G15450.1	0	0	0	0
transcript:AT1G15650.1	0	0	0	0
transcript:AT1G16100.1	0	0	0	0
transcript:AT1G16450.1	0	0	0	0
transcript:AT1G17570.1	0	0	0	0
transcript:AT1G17660.1	0	0	0	0
transcript:AT1G17670.1	0	0	0	0
transcript:AT1G18430.1	0	0	0	0
transcript:AT1G18820.1	0	0	0	0
transcript:AT1G20040.1	0	0	0	0
transcript:AT1G20170.1	0	0	0	0
transcript:AT1G20210.1	0	0	0	0
transcript:AT1G20250.1	0	0	0	0
transcript:AT1G20420.1	0	0	0	0
transcript:AT1G20820.1	0	0	0	0
transcript:AT1G21420.1	0	0	0	0
transcript:AT1G21800.1	0	0	0	0
transcript:AT1G22320.1	0	0	0	0
transcript:AT1G24080.1	0	0	0	0
transcript:AT1G26430.1	0	0	0	0
transcript:AT1G26490.1	0	0	0	0
transcript:AT1G28720.1	17	7	3	8
transcript:AT1G28730.1	2	2	0	1
transcript:AT1G28740.1	0	2	0	0
transcript:AT1G28750.1	2	0	0	0
transcript:AT1G28770.1	0	0	0	0
transcript:AT1G28780.1	0	0	0	0
transcript:AT1G28790.1	0	2	0	0
transcript:AT1G28800.1	0	0	0	0
transcript:AT1G28810.1	0	0	0	0
transcript:AT1G28820.1	1	1	2	1
transcript:AT1G28830.1	0	1	1	4
transcript:AT1G28840.1	0	1	2	2
transcript:AT1G28850.1	0	0	1	2
transcript:AT1G28860.1	0	0	0	2
transcript:AT1G28870.1	0	0	0	0
transcript:AT1G28880.1	0	0	0	0
transcript:AT1G28890.1	0	1	1	2
transcript:AT1G28900.1	1	0	0	0
transcript:AT1G28910.1	1	0	0	0
transcript:AT1G28920.1	2	3	2	2
transcript:AT1G28930.1	0	1	3	2
transcript:AT1G28940.1	0	1	0	1
transcript:AT1G28950.1	1	0	0	1
transcript:AT1G28970.1	1	0	0	0
transcript:AT1G28980.1	0	0	0	2
transcript:AT1G28990.1	1	0	2	1
transcript:AT1G29210.1	0	1	0	0
transcript:AT1G30430.1	0	0	0	0
transcript:AT1G30830.1	0	0	0	0
transcript:AT1G31110.1	0	0	0	0
transcript:AT1G32620.1	0	0	0	0
transcript:AT1G33370.1	4	0	0	0
transcript:AT1G36350.1	0	0	0	0
transcript:AT1G42120.1	0	0	0	0
transcript:AT1G43820.1	0	0	0	0
transcript:AT1G45234.1	2	1	1	2
transcript:AT1G45238.1	1	1	1	0
transcript:AT1G45240.1	4	0	0	2
transcript:AT1G45242.1	0	0	0	0
transcript:AT1G45244.1	0	0	0	0
transcript:AT1G45246.1	0	0	0	0
transcript:AT1G48080.1	0	0	0	0
transcript:AT1G49020.1	0	0	0	0
transcript:AT1G49280.1	0	0	0	0
transcript:AT1G49460.1	0	0	0	0
transcript:AT1G49690.1	0	0	0	0
transcript:AT1G50070.1	0	0	0	0
transcript:AT1G50100.1	0	0	0	0
transcript:AT1G52170.1	0	0	0	0
transcript:AT1G52350.1	0	0	0	0
transcript:AT1G52860.1	0	2	0	0
transcript:AT1G53220.1	0	0	0	0
transcript:AT1G53410.1	11	15	11	18
transcript:AT1G54670.1	0	0	0	0
transcript:AT1G55625.1	0	0	0	0
transcript:AT1G56730.1	0	0	0	0
transcript:AT1G56740.1	0	0	0	0
transcript:AT1G56750.1	0	0	0	0
transcript:AT1G56760.1	0	0	0	0
transcript:AT1G56770.1	0	0	0	0
transcript:AT1G56780.1	0	0	0	0
transcript:AT1G56790.1	0	0	0	0
transcript:AT1G56800.1	0	0	0	0
transcript:AT1G56810.1	0	0	0	0
transcript:AT1G56820.1	0	0	0	0
transcript:AT1G56830.1	0	0	0	0
transcript:AT1G56840.1	0	0	0	0
transcript:AT1G56850.1	0	0	0	0
transcript:AT1G56860.1	0	0	0	0
transcript:AT1G56870.1	0	0	0	0
transcript:AT1G56880.1	0	0	0	0
transcript:AT1G56890.1	0	0	0	0
transcript:AT1G56900.1	0	0	0	0
transcript:AT1G56910.1	0	0	0	0
transcript:AT1G56920.1	0	0	0	0
transcript:AT1G56930.1	0	0	0	0
transcript:AT1G56940.1	0	0	0	0
transcript:AT1G56950.1	0	0	0	0
transcript:AT1G56960.1	0	0	0	0
transcript:AT1G56970.1	0	0	0	0
transcript:AT1G56980.1	0	0	0	0
transcript:AT1G56990.1	0	0	0	0
transcript:AT1G57000.1	0	0	0	0
transcript:AT1G57010.1	0	0	0	0
transcript:AT1G57020.1	0	0	0	0
transcript:AT1G57030.1	0	0	0	0
transcript:AT1G57040.1	0	0	0	0
transcript:AT1G57050.1	0	0	0	0
transcript:AT1G57060.1	0	0	0	0
transcript:AT1G57070.1	0	0	0	0
transcript:AT1G57080.1	0	0	0	0
transcript:AT1G57090.1	0	0	0	0
transcript:AT1G57100.1	0	0	0	0
transcript:AT1G57110.1	0	0	0	0
transcript:AT1G57120.1	0	0	0	0
transcript:AT1G57130.1	0	0	0	0
transcript:AT1G57140.1	0	0	0	0
transcript:AT1G57150.1	0	0	0	0
transcript:AT1G57160.1	0	0	0	0
transcript:AT1G57170.1	0	0	0	0
transcript:AT1G57180.1	0	0	0	0
transcript:AT1G57190.1	0	0	0	0
transcript:AT1G57200.1	0	0	0	0
transcript:AT1G57210.1	0	0	0	0
transcript:AT1G57220.1	0	0	0	0
transcript:AT1G57230.1	0	0	0	0
transcript:AT1G57240.1	0	0	0	0
transcript:AT1G57250.1	0	0	0	0
transcript:AT1G57260.1	0	0	0	0
transcript:AT1G57270.1	0	0	0	0
transcript:AT1G57280.1	0	0	0	0
transcript:AT1G57290.1	0	0	0	0
transcript:AT1G57300.1	0	0	0	0
transcript:AT1G57310.1	0	0	0	0
transcript:AT1G57320.1	0	0	0	0
transcript:AT1G57330.1	0	0	0	0
transcript:AT1G57340.1	0	0	0	0
transcript:AT1G57350.1	0	0	2	0
transcript:AT1G57360.1	0	0	0	0
transcript:AT1G57370.1	0	0	0	0
transcript:AT1G57380.1	0	0	0	0
transcript:AT1G57390.1	0	0	0	0
transcript:AT1G57400.1	0	0	0	0
transcript:AT1G57410.1	0	0	0	0
transcript:AT1G57420.1	0	0	0	0
transcript:AT1G57430.1	0	0	0	0
transcript:AT1G57440.1	0	0	0	0
transcript:AT1G57450.1	0	0	0	0
transcript:AT1G57460.1	0	0	0	0
transcript:AT1G57470.1	0	0	0	0
transcript:AT1G57480.1	0	0	0	0
transcript:AT1G57490.1	0	0	0	0
transcript:AT1G57500.1	0	0	0	0
transcript:AT1G57510.1	0	0	0	0
transcript:AT1G57520.1	0	0	0	0
transcript:AT1G57530.1	0	0	0	0
transcript:AT1G59570.1	0	0	0	0
transcript:AT1G59880.1	0	0	0	0
transcript:AT1G60580.1	0	2	1	0
transcript:AT1G60820.1	0	2	0	0
transcript:AT1G60840.1	0	0	0	0
transcript:AT1G60910.1	0	0	0	0
transcript:AT1G61020.1	0	0	0	0
transcript:AT1G61880.1	0	0	0	0
transcript:AT1G61910.1	0	0	0	0
transcript:AT1G63510.1	0	0	1	0
transcript:AT1G63790.1	0	0	0	0
transcript:AT1G64120.1	0	0	0	0
transcript:AT1G64420.1	0	0	0	0
transcript:AT1G65830.1	0	0	0	0
transcript:AT1G68770.1	29	26	12	18
transcript:AT1G68860.1	0	0	0	0
transcript:AT1G68950.1	0	0	0	0
transcript:AT1G68970.1	0	0	0	0
transcript:AT1G69000.1	0	1	0	0
transcript:AT1G69130.1	0	0	0	0
transcript:AT1G69300.1	0	0	1	0
transcript:AT1G70050.1	0	1	0	0
transcript:AT1G71700.1	0	2	1	0
transcript:AT1G72780.1	0	0	0	0
transcript:AT1G73900.1	0	0	0	0
transcript:AT1G74570.1	0	3	0	0
transcript:AT1G74610.1	0	0	0	0
transcript:AT1G75070.1	0	0	0	0
transcript:AT1G75570.1	0	0	0	0
transcript:AT1G75650.1	0	0	0	0
transcript:AT1G75740.1	0	0	0	0
transcript:AT1G75970.1	0	0	0	0
transcript:AT1G76000.1	0	0	0	0
transcript:AT1G76330.1	0	0	0	0
transcript:AT1G77040.1	0	0	1	0
transcript:AT1G77190.1	0	0	0	0
transcript:AT1G77560.1	0	0	0	0
transcript:AT1G78250.1	0	0	0	0
transcript:AT1G79240.1	0	0	0	0
transcript:AT1G79290.1	0	0	0	0
transcript:AT1G79300.1	0	0	0	0
transcript:AT1G79980.1	0	0	0	0
transcript:AT1G80250.1	0	0	0	0
transcript:AT1G80430.1	0	0	3	1
transcript:AT2G01160.1	0	0	0	0
transcript:AT2G02600.1	0	0	0	0
transcript:AT2G02900.1	0	0	0	0
transcript:AT2G03490.1	0	0	0	0
transcript:AT2G03660.1	0	0	0	0
transcript:AT2G03700.1	0	0	0	0
transcript:AT2G03790.1	0	0	0	0
transcript:AT2G07743.1	0	0	0	0
transcript:AT2G07745.1	0	0	0	0
transcript:AT2G07746.1	1	2	0	1
transcript:AT2G07748.1	0	0	0	1
transcript:AT2G07752.1	0	0	0	0
transcript:AT2G07753.1	1	0	0	0
transcript:AT2G07754.1	9	2	5	10
transcript:AT2G07755.1	0	0	0	0
transcript:AT2G07792.1	8	3	1	4
transcript:AT2G07793.1	0	0	0	0
transcript:AT2G07794.1	0	0	0	0
transcript:AT2G05315.1	2	1	4	2
transcript:AT2G07756.1	1	0	0	2
transcript:AT2G07757.1	0	2	0	0
transcript:AT2G07758.1	5	2	2	2
transcript:AT2G05355.1	0	0	0	0
transcript:AT2G07759.1	7	8	3	2
transcript:AT2G07761.1	0	0	1	1
transcript:AT2G07762.1	1	0	0	1
transcript:AT2G07763.1	3	4	1	1
transcript:AT2G07764.1	2	0	1	0
transcript:AT2G07765.1	3	1	6	2
transcript:AT2G07766.1	3	0	0	0
transcript:AT2G15950.1	0	0	0	0
transcript:AT2G16240.1	0	0	0	0
transcript:AT2G17810.1	1	1	0	0
transcript:AT2G18310.1	0	0	0	0
transcript:AT2G21360.1	0	0	0	0
transcript:AT2G21570.1	0	0	0	0
transcript:AT2G21670.1	0	0	0	0
transcript:AT2G21700.1	0	0	0	0
transcript:AT2G22110.1	0	0	0	0
transcript:AT2G22220.1	0	0	0	0
transcript:AT2G22280.1	0	0	0	0
transcript:AT2G22380.1	2	0	0	0
transcript:AT2G22580.1	0	0	0	0
transcript:AT2G23020.1	0	0	0	0
transcript:AT2G23650.1	0	0	0	0
transcript:AT2G24380.1	0	0	0	0
transcript:AT2G25400.1	0	0	0	0
transcript:AT2G26090.1	0	0	0	0
transcript:AT2G27560.1	0	0	0	0
transcript:AT2G27850.1	0	0	0	0
transcript:AT2G28730.1	0	0	0	0
transcript:AT2G28770.1	0	0	0	0
transcript:AT2G29030.1	0	0	0	0
transcript:AT2G29520.1	0	0	0	0
transcript:AT2G30180.1	0	0	0	0
transcript:AT2G30190.1	0	0	0	0
transcript:AT2G30450.1	0	0	0	0
transcript:AT2G30850.1	0	0	0	0
transcript:AT2G32110.1	0	0	0	0
transcript:AT2G33140.1	0	0	0	0
transcript:AT2G33650.1	0	0	0	0
transcript:AT2G33660.1	0	0	0	0
transcript:AT2G33890.1	0	0	0	0
transcript:AT2G33900.1	0	0	0	2
transcript:AT2G33910.1	0	0	0	0
transcript:AT2G33920.1	0	0	0	0
transcript:AT2G33930.1	1	0	0	0
transcript:AT2G33940.1	0	0	0	0
transcript:AT2G33950.1	0	0	0	0
transcript:AT2G33960.1	0	0	0	0
transcript:AT2G33970.1	0	0	0	0
transcript:AT2G34950.1	0	0	0	0
transcript:AT2G34985.1	0	0	0	0
