ID of mobile RNA producing gene	  direction				   condition			tissue					 binomial  mobility score (max of  transcript isoforms)	total degree of penetrance across all datasets [log2(alt read count/ref read count)] (max of all transcript isoforms)	FPKM (mean across replicates)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N	-P	root	rosette	lower stem	upper stem	flower			 Cr*Cs	 CrCs*	 PrPs*	 Pr*Ps	  Cr*Ps	  PrCs*	  Cr*Ps -N	  Cr*Ps -P	  Pr*Cs	  CrPs*	  CrPs* -N	  CrPs* -P	 Pr*Cs FN_root	 PrCs* FN_rosette	 PrCs* FN_stemLower	 PrCs* FN_stemUpper	 PrCs* FN_flower																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01040	PED to COL			root to shoot	FN								7.30874E-07	-6.074676686	21.24552793	14.01624558	0.818328723	3.080035009	16.35183229	10.89631355	17.24498705	13.39046038	18.61667259	9.785886115	19.1435371	11.88934137	5.509390289	2.071020996	3.48157604	3.588397925	3.814155375																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01300		COL to PED		root to shoot	FN								8.27417E-08	-6.004501392	24.83690565	66.47399275	93.33128918	152.7851403	51.77110959	86.54103564	24.80201185	24.43379829	71.81297516	67.00377277	41.23523098	50.85703993	63.48242767	31.77010481	90.0883391	75.25339741	116.833498																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01360		COL to PED	shoot to root		FN								2.60888E-06	-5.638073837	37.64732241	19.81142227	27.91532041	72.92773927	34.23318172	16.9450968	34.55265028	36.23216241	58.02644002	14.70386469	31.6783058	24.10702442	71.78170193	28.40056988	35.35625457	31.24328363	34.26320289																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01540	PED to COL			root to shoot	FN				True				1.67792E-08	-4.722466024	8.388440823	16.70171443	2.245587784	4.549178842	10.2943542	16.555577	11.75318295	12.97618539	10.1048431	12.63324152	17.39815718	16.21983703	5.900813528	8.412223504	14.6268184	11.93682682	12.17420477																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01720		COL to PED	shoot to root		FN			True					1.59792E-07	-6.364667069	50.29664923	61.29798883	21.32330845	6.815516493	30.99810541	93.62932208	61.75381226	47.0149033	25.57725868	20.32075416	36.85657628	57.32965322	56.77688282	137.0168663	141.1532912	223.3568756	191.9593691																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01780		COL to PED	shoot to root		FN								2.79394E-06	-4.029747343	33.18451705	19.58355487	11.05101087	58.76159417	25.70692348	11.68367916	12.11872276	16.34936805	29.27358318	5.220744597	7.870206067	6.054104255	48.72425454	8.04788854	13.30539358	16.61791947	33.74033084																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G01800	PED to COL		shoot to root				-P						4.7581E-08	-5.209453366	19.44523394	18.27875784	5.677810032	11.89005168	21.57766546	16.70520642	16.66942125	18.97049915	25.89398976	20.32800232	26.14728766	23.24021206	26.1113775	22.84619775	22.90750123	20.56740142	18.66765772																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02000		COL to PED	shoot to root		FN								3.11484E-08	-5.201633861	9.507841591	17.35121857	14.97642649	28.34430678	14.85491041	14.78447927	9.104460437	11.38092619	22.15142293	12.45220491	8.923075923	10.79749763	16.85429492	6.069029191	7.776189209	9.661115136	18.71284599																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02120	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				8.02081E-06	-6.623782341	151.8248296	99.63077153	85.81150866	91.13523101	115.9162754	88.06166438	91.12687282	90.89234483	104.1644348	106.9734849	113.6011747	96.48165133	95.88759248	86.18271462	68.00600382	63.71542267	58.96887219																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02220		COL to PED	shoot to root		FN								1.33014E-05	-2.584962501	81.70618289	43.82110778	5.131036013	3.921949001	94.40179807	22.73875814	152.6299239	155.8786631	24.26066572	6.696978177	8.143273379	10.78675592	19.50976453	22.34136686	12.88985687	24.41764453	32.0482938																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02305	PED to COL	COL to PED	shoot to root	root to shoot	FN		-P	True	True		True		0.000320674	-7.092192959	150.2884266	120.4983975	70.63566937	126.5263507	111.1503143	88.23183272	94.62216454	110.4089072	81.76949589	54.06821931	87.1198086	89.57161006	145.0596817	132.1172765	117.1289614	172.0996133	158.7463233																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02520		COL to PED	shoot to root		FN								3.70817E-11	-5.744161096	116.847304	8.425109905	2.935529683	27.62238374	128.5302025	4.399333637	156.7652007	100.1211744	45.59225274	9.151758023	8.748753351	8.026247666	42.41890033	0.63606526	2.148531002	2.838836762	4.30060912																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G02560		COL to PED	shoot to root		FN			True					1.23959E-07	-5.884864289	27.80717047	171.6722129	386.4185456	66.5693987	33.28559972	157.7824594	20.52469373	25.16875217	41.90467168	214.0040848	171.2446105	167.5665037	65.00065538	385.4652904	239.5853348	237.0238892	210.1058398																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G03220		COL to PED	shoot to root		FN			True					2.20731E-09	-5.456829646	574.9316722	139.4909639	18.81845848	77.80505749	367.5749422	99.31237248	169.0536777	292.074596	60.7979215	19.04406144	3.820696368	11.29612113	201.4493332	74.82676998	114.1184809	198.4562376	231.1542103																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G03230		COL to PED	shoot to root		FN			True					7.76418E-07	-4.247927513	15.08653449	15.10470964	9.681940243	24.13618704	21.73964094	14.92711181	9.483441935	18.46728066	14.47164784	9.75761993	2.523854817	4.212613819	23.45101507	23.30055307	20.70983775	13.96017257	26.76403264																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G03600		COL to PED	shoot to root		FN			True					5.78449E-06	0.893084796	2.380309703	130.4850606	893.9723028	2.829596765	1.500888762	92.54558209	1.549453103	0.479578347	0.917026784	99.44132288	90.24345564	88.68588553	1.754133307	260.8924648	281.4361621	230.5535165	200.0713607																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G04170	PED to COL			root to shoot	FN				True				4.19805E-10	-6.964337637	73.96923686	70.73401404	88.60505598	105.0494221	86.92295199	69.82713536	63.9438958	62.29025379	109.9009003	89.83426854	83.8646027	68.79502521	101.2771997	77.61795127	86.6820779	81.71557332	94.18860306																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G04440		COL to PED	shoot to root	root to shoot	FN	-N	-P	True					4.28237E-12	-3.681309901	180.4191906	83.96918581	41.32688281	71.31966315	109.7387281	76.38767541	114.4044466	144.6575098	83.67373736	58.13370453	49.80819156	53.13424904	97.68953781	74.36906231	59.49859057	71.58850341	63.14704929																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G04690		COL to PED	shoot to root		FN			True					3.15058E-06	-6.560813136	47.85264616	80.32002217	109.4860216	110.3791639	62.81289099	86.93042081	65.11016463	62.43995477	72.13332133	89.54777218	82.18828924	76.73715078	88.48705283	120.2075671	118.2663123	125.3295662	129.3936212																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G05260	PED to COL	COL to PED	shoot to root	root to shoot	FN		-P	True		True			7.44225E-06	-7.410350581	76.61766407	4.109443453	2.296870711	318.2665188	196.0707367	5.062251539	66.30601909	138.174808	151.5459067	2.188641283	1.541352178	2.674258215	190.4014406	1.870054563	5.757928119	5.473832811	9.846990218																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G06020		COL to PED	shoot to root		FN			True					3.56207E-07	-0.35322028	0.71115876	0.536239347	0.563211985	2.397727428	0.524662599	0.524171836	0.504979983	0.341949248	0.90810801	0.43055671	0.317926084	0.347811375	1.285985224	0.29837358	0.600054237	0.469780419	1.429762557																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G06220	PED to COL		shoot to root			-N							2.68821E-07	-4.029747343	15.50098586	14.92653412	1.907281875	4.571987136	15.10342855	14.06420639	16.91802267	14.80852119	13.88689888	11.37965895	19.38515273	13.50314448	6.86998951	3.478580947	5.404462962	5.239950863	7.597393266																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G06290		COL to PED	shoot to root	root to shoot	FN	-N		True					1.62241E-10	-3.790809887	56.06892712	81.71085974	26.03070936	49.1144486	69.00931036	64.84321069	95.25951248	92.64091508	50.4511002	54.07434391	41.96413079	44.18726738	47.05004359	36.11565323	38.38954546	45.66142749	58.63697702																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT1G06450		COL to PED	shoot to root		FN			True					4.48376E-06	-2.659509454	11.13595912	9.725102094	4.871783667	4.491755827	8.320343229	10.32930219	6.218140971	4.505340142	6.975393099	5.097231951	6.568355345	4.070502842	5.029879598	5.812706524	8.628657156	8.909633659	10.38023833																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
