# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "gene" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
gene:AT1G01010	1	3631	5899	+	2269	117	165	147	179	462	429	151	200
gene:AT1G01020	1	6788	9130	-	2343	147	164	175	145	185	152	141	188
gene:AT1G01030	1	11649	13714	-	2066	59	100	96	126	87	81	119	76
gene:AT1G01040	1	23121	31227	+	8107	710	771	843	723	1322	1180	731	969
gene:AT1G01050	1	31170	33171	-	2002	673	856	710	871	993	1133	688	899
gene:AT1G01060	1	33365	37871	-	4507	48	58	13	9	58	37	44	54
gene:AT1G01070	1	38444	41017	-	2574	66	70	72	99	125	119	55	75
gene:AT1G01080	1	44970	47059	-	2090	811	1162	994	1137	820	851	755	953
gene:AT1G01090	1	47234	49304	-	2071	2495	2855	3008	2921	2374	2640	2915	2856
gene:AT1G01100	1	49909	51210	-	1302	1430	1908	1866	1727	1958	2108	1780	1858
gene:AT1G01110	1	51953	54737	+	2785	74	93	119	110	128	119	91	96
gene:AT1G01120	1	57164	59215	-	2052	663	782	846	1073	512	614	642	1241
gene:AT1G01130	1	61905	63811	-	1907	35	47	48	69	31	46	45	39
gene:AT1G01140	1	64166	67774	-	3609	845	963	791	1168	1332	1230	865	628
gene:AT1G01150	1	69911	72138	-	2228	20	7	7	4	0	0	2	0
gene:AT1G01160	1	72339	74096	+	1758	382	398	417	470	445	385	403	463
gene:AT1G01170	1	73931	74737	-	807	621	726	665	809	545	793	821	892
gene:AT1G01180	1	75390	76845	+	1456	260	319	178	237	166	147	257	244
gene:AT1G01190	1	82984	84946	-	1963	43	97	80	106	75	142	33	75
gene:AT1G01200	1	86486	88409	-	1924	22	18	36	24	28	60	6	28
gene:AT1G01210	1	88622	90502	+	1881	157	190	197	185	151	200	156	156
gene:AT1G01220	1	91342	95681	+	4340	471	586	702	592	620	643	507	549
gene:AT1G01225	1	95935	97407	+	1473	24	48	70	23	44	53	28	34
gene:AT1G01230	1	97412	99240	+	1829	309	296	350	369	368	421	382	485
gene:AT1G01240	1	99865	101987	+	2123	293	327	313	370	286	242	296	436
gene:AT1G01250	1	104440	105330	-	891	20	34	41	59	28	18	40	22
gene:AT1G01260	1	108946	111699	+	2754	300	344	341	364	408	331	415	396
gene:AT1G01280	1	112263	113947	+	1685	0	0	0	0	0	0	0	0
gene:AT1G01290	1	114202	116407	+	2206	184	195	192	189	275	293	189	215
gene:AT1G01300	1	116784	118845	+	2062	766	857	1135	1004	1416	1421	797	1022
gene:AT1G01305	1	119381	119997	+	617	0	0	0	1	0	0	0	0
gene:AT1G01310	1	120154	121130	+	977	20	49	14	13	0	0	9	0
gene:AT1G01320	1	121067	130577	-	9511	8744	11099	11038	11132	8208	8183	8264	8373
gene:AT1G01335	1	130736	130858	+	123	0	0	0	0	0	0	0	0
gene:AT1G01340	1	132270	135924	-	3655	84	90	96	95	390	207	78	125
gene:AT1G01350	1	136090	138162	+	2073	327	427	389	448	400	477	279	395
gene:AT1G01355	1	138489	139680	+	1192	0	0	2	0	0	0	1	0
gene:AT1G01360	1	141870	143261	+	1392	212	267	234	325	181	207	266	229
gene:AT1G01370	1	143489	146479	+	2991	17	48	55	39	63	46	13	27
gene:AT1G01380	1	147043	148014	+	972	6	16	15	14	6	8	8	7
gene:AT1G01390	1	148013	149848	-	1836	62	86	54	92	0	6	52	50
gene:AT1G01400	1	150689	152210	-	1522	2	0	0	0	0	0	0	0
gene:AT1G01410	1	153113	154198	+	1086	0	0	0	0	0	0	0	0
gene:AT1G01420	1	154367	156178	-	1812	73	56	99	75	89	74	60	68
gene:AT1G01430	1	156477	158823	-	2347	1133	1320	1028	1342	635	798	1325	1272
gene:AT1G01440	1	159628	162953	-	3326	523	539	383	575	374	267	457	626
