	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G55525.1	2	0	41	81	28.0984174968146	5.65339566464543	1.22133347765076	4.62887144919646	3.67663903115874e-06	5.88262244985398e-05	0.0001260084467951	11.0
transcript:AT2G07042.1	72	110	799	674	379.948713250962	2.77527273346151	0.240257094494823	11.5512623645805	7.274402721550741e-31	1.28029487899293e-28	2.74244982602463e-28	1.0
transcript:AT2G21188.1	20	56	208	142	98.4212958591608	1.99057014514625	0.444877246065698	4.47442561459368	7.66169929134154e-06	0.0001007015434931	0.0002157072835053	13.0
transcript:AT2G08475.1	150	198	771	553	390.987190757654	1.68027319723552	0.237587412849544	7.0722315508338	1.52461734569945e-12	5.36665305686207e-11	1.14956147865739e-10	5.0
transcript:AT2G39675.1	91	128	675	562	336.840233668436	2.25319344040957	0.241077707197752	9.34633677497736	9.07359356541547e-21	7.98476233756561e-19	1.7103723870808198e-18	2.0
transcript:AT2G39681.1	198	248	565	487	356.286550396174	0.988079759435494	0.221299063293067	4.46490710232686	8.01035005059534e-06	0.0001007015434931	0.0002157072835053	14.0
transcript:AT2G09395.1	166	209	400	390	278.290298787149	0.825539975927178	0.236914431524776	3.48454912862007	0.0004929669531604	0.0045664307240122	0.0097815021758672	19.0
transcript:AT3G15536.1	0	0	233	127	81.0114104647805	9.67516993974749	1.5068857423607	6.42063938078697	1.35703154600133e-10	3.98062586827056e-09	8.526681547375011e-09	6.0
transcript:AT3G57157.1	14	21	232	158	97.080213421301	3.23337272090203	0.444671890931127	7.27136746631648	3.55866418841526e-13	1.5658122429027098e-11	3.35404099758138e-11	4.0
transcript:AT3G61198.1	18	23	142	107	67.0243467985742	2.35264657785534	0.477159719104367	4.93052217876075	8.20101047129234e-07	1.6037531588305e-05	3.43531216408579e-05	9.0
transcript:AT4G36648.1	1453	1970	3444	2703	2296.89946760294	0.599940272848397	0.157425324967323	3.81095146522916	0.0001384329470853	0.0016242799124677	0.0034792814034109	15.0
transcript:AT5G24206.1	1	3	32	26	14.0900729397097	3.62927330051076	1.14345212076412	3.17396175546508	0.00150373503061	0.0110273902244736	0.0236211711058327	24.0
transcript:AT5G04175.1	28	49	227	161	107.638507233697	2.09802742516011	0.394827628234866	5.31378068586448	1.07373836987086e-07	2.36222441371589e-06	5.05999206801642e-06	8.0
transcript:AT5G05865.1	0	0	52	32	18.9058820277656	7.57588183803394	1.64981948511685	4.59194591067481	4.39132193798383e-06	6.44060550904295e-05	0.0001379606975516	12.0
