# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "miRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_miRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:at1g01046	1	28500	28706	+	207	7	7	11	5	4	11	5	13
transcript:at1g01183	1	78927	79037	-	111	0	0	1	1	0	0	0	0
transcript:at1g04027	1	234006	234159	-	154	2	2	5	13	5	3	9	7
transcript:at1g04393	1	1653221	1653624	-	404	0	1	1	3	1	0	0	2
transcript:at1g04423	1	1727263	1727415	+	153	0	2	2	4	1	4	1	0
transcript:at1g07051	1	2165517	2165746	+	230	0	0	2	0	0	0	0	0
transcript:at1g11735	1	3961348	3961464	-	117	2	2	3	8	1	0	0	4
transcript:at1g12294	1	4182132	4182299	-	168	2	0	0	2	2	0	1	2
transcript:at1g04993	1	4525271	4525360	-	90	0	0	0	0	0	0	0	0
transcript:at1g14071	1	4820355	4820549	-	195	9	6	3	12	2	6	6	4
transcript:at1g18075	1	6220646	6220841	+	196	6	6	23	11	9	7	10	12
transcript:at1g18879	1	6520941	6521124	+	184	0	0	0	0	0	0	1	0
transcript:at1g19371	1	6695420	6695609	-	190	2	2	2	9	0	0	5	2
transcript:at1g19464	1	6740500	6740591	+	92	0	2	1	0	0	0	0	1
transcript:at1g20375	1	7058194	7058310	+	117	1	0	0	0	0	0	0	0
transcript:at1g05627	1	7400802	7400992	-	191	0	0	0	0	0	0	0	0
transcript:at1g21202	1	7423518	7423611	+	94	0	0	0	0	0	0	0	0
transcript:at1g05637	1	7423521	7423607	-	87	0	0	0	0	0	0	0	0
transcript:at1g26973	1	9363196	9363288	-	93	0	0	0	0	0	0	0	0
transcript:at1g26975	1	9364471	9364570	+	100	0	0	0	0	0	0	0	0
transcript:at1g26985	1	9367080	9367179	+	100	0	1	0	0	0	0	0	0
transcript:at1g29265	1	10227073	10227195	+	123	0	0	0	0	0	0	0	0
transcript:at1g31173	1	11137539	11137915	+	377	30	28	27	30	32	49	34	39
transcript:at1g31358	1	11230463	11230612	-	150	0	0	0	0	0	0	0	0
transcript:at1g06523	1	11499384	11499883	+	500	0	0	0	0	0	0	0	0
transcript:at1g32582	1	11785936	11786037	+	102	2	1	1	2	0	0	0	0
transcript:at1g06597	1	11786292	11786371	+	80	7	2	2	3	0	0	1	1
transcript:at1g32713	1	11834022	11834226	-	205	0	0	0	0	0	0	0	0
transcript:at1g06623	1	11901409	11901520	+	112	0	0	0	0	0	0	0	0
transcript:at1g32992	1	11957460	11957730	+	271	0	0	0	0	0	0	0	0
transcript:at1g06643	1	12011152	12011223	-	72	453	495	579	553	606	685	556	637
transcript:at1g06647	1	12023526	12023597	-	72	483	547	610	505	652	719	541	646
transcript:at1g06653	1	12035047	12035135	+	89	0	0	0	0	0	0	0	0
transcript:at1g06903	1	13050667	13050864	-	198	0	0	0	0	0	0	0	0
transcript:at1g35501	1	13067251	13067335	+	85	0	0	0	0	0	0	0	0
transcript:at1g07137	1	16116572	16117041	+	470	0	0	2	1	1	6	0	1
transcript:at1g07243	1	16766259	16766438	-	180	1	0	2	1	1	0	0	0
transcript:at1g07283	1	16993891	16994045	+	155	0	0	0	0	0	0	0	0
transcript:at1g07357	1	17386795	17387008	+	214	0	0	0	0	0	0	0	0
transcript:at1g48267	1	17825685	17825857	+	173	6	2	0	2	0	0	0	0
transcript:at1g48742	1	18026811	18027031	-	221	0	0	0	0	0	0	1	0
transcript:at1g07613	1	18549959	18550036	+	78	15	3	9	12	12	15	5	12
transcript:at1g07633	1	18686855	18686966	-	112	0	2	0	0	0	0	0	2
transcript:at1g07727	1	19026915	19027000	-	86	0	0	0	0	0	0	0	0
transcript:at1g52185	1	19430078	19430277	-	200	0	0	0	0	0	2	0	0
transcript:at1g07867	1	19806917	19807113	-	197	51	43	67	52	137	212	51	66
transcript:at1g53683	1	20039463	20039616	-	154	0	0	0	0	0	0	0	0
transcript:at1g53687	1	20041518	20041734	+	217	0	0	2	0	0	0	0	0
transcript:at1g08053	1	20622538	20622719	-	182	0	0	0	0	0	0	0	0
transcript:at1g55591	1	20772218	20772302	+	85	0	0	0	0	0	0	0	0
transcript:at1g08157	1	21360151	21360251	+	101	0	0	0	0	0	0	0	0
transcript:at1g08163	1	21360151	21360251	-	101	0	0	0	0	0	0	0	0
transcript:at1g08287	1	22084264	22084683	-	420	0	6	9	4	4	4	0	9
transcript:at1g60025	1	22107346	22107456	+	111	0	0	0	0	0	0	0	0
transcript:at1g60072	1	22149718	22149843	+	126	0	0	0	0	0	0	0	0
transcript:at1g60073	1	22149936	22150033	+	98	0	0	0	0	0	0	0	0
transcript:at1g08303	1	22150128	22150266	+	139	0	0	0	0	0	0	0	0
transcript:at1g08337	1	22372462	22372578	+	117	0	0	0	0	0	0	0	0
transcript:at1g08343	1	22372670	22372790	+	121	0	0	0	0	0	0	0	0
transcript:at1g61224	1	22577067	22577265	+	199	0	2	1	0	1	1	0	0
transcript:at1g61226	1	22577375	22577733	+	359	0	2	4	0	0	0	0	0
transcript:at1g61732	1	22795618	22795735	+	118	0	0	0	0	0	0	0	0
transcript:at1g62035	1	22930089	22930204	-	116	2	1	2	1	0	0	7	1
transcript:at1g62355	1	23058034	23058156	+	123	4	8	4	5	7	6	2	7
transcript:at1g63005	1	23345377	23345511	-	135	0	0	0	0	0	0	0	0
transcript:at1g08597	1	23412989	23413436	-	448	55	68	59	74	175	143	91	115
transcript:at1g08783	1	24543740	24544014	-	275	0	0	0	0	0	0	0	0
transcript:at1g08793	1	24553909	24554049	+	141	0	1	1	8	1	3	1	1
transcript:at1g08813	1	24605427	24605567	-	141	2	1	0	0	0	0	0	1
transcript:at1g66725	1	24884066	24884396	+	331	33	36	40	45	61	57	17	13
transcript:at1g66783	1	24913202	24913299	-	98	0	0	3	1	1	1	0	1
transcript:at1g66795	1	24921086	24921217	+	132	0	0	0	1	0	1	0	0
transcript:at1g67195	1	25137456	25137563	-	108	125	166	158	164	116	120	138	109
transcript:at1g67481	1	25278944	25279207	-	264	0	0	0	0	0	0	0	0
transcript:at1g69792	1	26269979	26270078	-	100	0	0	0	0	0	0	0	0
transcript:at1g69795	1	26272776	26272870	-	95	0	1	0	0	0	0	0	0
transcript:at1g69797	1	26273858	26273969	+	112	0	0	0	0	0	0	0	0
transcript:at1g70645	1	26638000	26638107	+	108	0	0	3	6	1	1	0	1
transcript:at1g09213	1	26772633	26772935	+	303	0	0	1	0	0	0	0	0
transcript:at1g71002	1	26773539	26773725	-	187	0	0	2	0	0	0	0	0
transcript:at1g73687	1	27713233	27713416	-	184	2	0	1	1	0	0	0	0
transcript:at1g09473	1	27987016	27987125	+	110	32	40	24	35	44	39	19	30
transcript:at1g76062	1	28544454	28544853	-	400	20	18	8	19	28	22	15	18
transcript:at1g76135	1	28568808	28568928	+	121	2	2	2	1	0	0	2	0
transcript:at1g09687	1	28889375	28889532	+	158	39	27	24	39	20	39	51	28
transcript:at1g77235	1	29016520	29016828	+	309	2	0	0	3	0	0	1	0
transcript:at1g78206	1	29422452	29422574	+	123	4	3	1	3	3	3	2	2
transcript:at1g78478	1	29525151	29525337	+	187	5	6	5	4	6	1	6	4
transcript:at1g09817	1	29525202	29525286	-	85	0	0	0	0	0	0	0	0
transcript:at2g03855	2	2805	3176	+	372	24	26	44	33	25	21	25	27
transcript:at2g02741	2	771337	771562	-	226	5	13	7	6	6	4	2	1
transcript:at2g03445	2	1040938	1041042	+	105	0	0	0	0	0	0	0	0
transcript:at2g04935	2	2063848	2064061	+	214	0	0	0	0	0	0	0	0
transcript:at2g05415	2	3517383	3517452	-	70	0	0	1	0	0	0	0	0
transcript:at2g05455	2	3740797	3740985	+	189	0	0	0	0	0	1	0	0
transcript:at2g10606	2	4142323	4142473	-	151	0	3	0	1	1	2	4	1
