"Table S2. Characterization of AGO1 Binding Sites and Associated Genes, related to Figures 1-5"																								
Peak ID	Chromosome	Start	End	Relative ChIP signala (RPKM)			Normalized ChIP signal (RPKM)			Associated genes	Gene ID	RNA-seq  (RPKM)				GRO-seq  (RPKM)		PolII  (RPKM)		PolII_Ser2P  (RPKM)		PolII_Ser5P (RPKM)		Nuclear AGO1-bound sRNAs  (RPKM)
				IgG	Replicate 1	Replicate 2	Col-0	brm-4	swi3b-2/+			Col-0	ago1-36	Log2(fold_change)	q-value	Col-0	ago1-36	Col-0	ago1-36	Col-0	ago1-36	Col-0	ago1-36	
AGO1_peak_1	Chr1	77534	77849	-0.35	3.32	6.93	10.36	12.49	12.72	At1g01180_downstream_1k	At1g01180	14.16	7.38	-0.94	0.09	2.18	0.55	20.74	13.82	14.73	10.98	18.15	11.34	1.42
AGO1_peak_2	Chr1	128098	128707	-3.03	3.32	9.09	13.34	13.98	12.99	At1g01320	At1g01320	84.74	109.19	0.37	0.60	19.47	5.18	12.10	8.88	38.00	22.74	42.28	22.58	2.81
AGO1_peak_3	Chr1	131158	131468	NA	5.34	8.04	9.38	7.65	7.82	At1g01320_promoter_1k	At1g01320	84.74	109.19	0.37	0.60	19.47	5.18	12.10	8.88	38.00	22.74	42.28	22.58	2.81
AGO1_peak_4	Chr1	146097	146381	-4.33	5.9	7.02	14.83	9.68	12.62	At1g01370_downstream_1k;At1g01380_promoter_1k	At1g01370	6.60	5.04	-0.39	0.73	0.36	0.17	6.47	6.95	6.71	6.01	6.40	6.16	0.00
											At1g01380	3.66	1.06	-1.79	0.22	0.41	0.39	9.47	6.64	9.19	6.30	9.65	5.25	0.35
AGO1_peak_5	Chr1	156185	157294	-0.32	3.9	6.65	14.82	13.99	13.98	At1g01420_promoter_1k;At1g01430_downstream_1k	At1g01420	5.74	1.12	-2.36	0.00	1.93	0.44	20.38	11.35	11.56	8.23	15.28	6.90	2.38
											At1g01430	80.61	41.67	-0.95	0.02	7.57	3.41	31.92	16.33	23.51	15.41	33.39	18.91	2.40
AGO1_peak_6	Chr1	225315	227284	-2.76	6.95	9.41	16.39	14.78	18.15	At1g01620	At1g01620	405.15	135.18	-1.58	0.00	24.31	5.72	77.69	31.06	41.27	23.77	67.34	39.18	4.76
AGO1_peak_7	Chr1	291034	291243	-1.97	5.99	2.79	10.5	10.83	10.6	At1g01790_downstream_1k	At1g01790	40.13	19.06	-1.07	0.01	2.42	0.75	6.87	7.54	10.50	7.48	9.29	6.90	0.86
AGO1_peak_8	Chr1	426381	426797	-5.99	4.85	4.13	10.41	8.16	8.11	At1g02210_downstream_1k	At1g02210	0.00	0.00	0.00	1.00	0.00	0.00	5.14	5.58	5.63	3.14	5.25	3.00	0.00
AGO1_peak_9	Chr1	468756	469028	2.25	3.74	16.31	16.57	13.87	15.89	At1g02350_promoter_1k	At1g02350	5.62	1.54	-1.87	0.23	1.32	0.63	19.25	12.42	11.87	10.95	13.18	13.10	0.32
AGO1_peak_10	Chr1	556989	557465	-0.37	3.83	10.49	8.22	9.74	10.85	At1g02620	At1g02620	1.50	0.15	-3.28	0.52	0.26	0.00	9.27	7.99	7.59	6.09	7.23	6.83	1.25
AGO1_peak_11	Chr1	602232	602723	-0.91	4.09	7.17	13.89	13.17	18.25	At1g02740_promoter_1k;At1g02750_promoter_1k	At1g02740	5.52	4.79	-0.20	0.88	1.04	0.56	7.13	6.61	8.09	8.64	7.82	7.15	24.97
											At1g02750	12.91	19.18	0.57	0.38	1.51	0.91	11.98	11.12	14.82	13.43	15.51	14.96	0.31
AGO1_peak_12	Chr1	952035	952201	-6.38	1.76	8	11.43	14.93	16.52	At1g03780_promoter_1k	At1g03780	16.63	11.97	-0.47	0.41	0.96	0.42	7.09	6.59	10.31	8.21	14.68	7.60	1.03
AGO1_peak_13	Chr1	1133719	1133959	-0.86	4.79	1.59	11.12	8.76	13.18	.	NA													
AGO1_peak_14	Chr1	1436721	1436979	-4.25	3.02	6.96	11.04	13.58	12.26	At1g05020	At1g05020	3.67	1.08	-1.76	0.01	0.71	0.15	16.21	11.94	9.66	8.55	12.99	8.75	0.35
AGO1_peak_15	Chr1	1497772	1498293	-1.58	3.5	6.92	15.26	10.34	12.35	At1g05180_downstream_1k	At1g05180	22.69	31.71	0.48	0.38	1.67	1.06	7.58	7.87	10.05	10.42	9.10	9.89	0.60
AGO1_peak_16	Chr1	1587656	1588343	-5.02	3.91	6.22	14.68	14.51	14.12	At1g05410_promoter_1k	At1g05410	8.36	9.48	0.18	0.87	0.69	0.60	9.21	10.06	10.54	10.08	11.32	11.68	0.23
AGO1_peak_17	Chr1	1878512	1878940	-1.84	3.3	1.04	12.06	7.81	10.84	.	NA													
AGO1_peak_18	Chr1	2035700	2036045	-1.49	5.06	3.65	15.13	15.15	16.81	At1g06645_downstream_1k;At1g06650_promoter_1k;At1g06650	At1g06645	9.75	12.87	0.40	0.59	1.40	0.32	19.61	18.65	17.15	14.14	22.39	16.11	3.22
											At1g06650	56.86	97.48	0.78	0.09	4.03	1.68	18.60	14.63	17.98	17.03	25.21	20.69	1.82
AGO1_peak_19	Chr1	2048814	2049679	-0.56	9.47	5.86	24.75	26.23	22.55	At1g06680_downstream_1k;At1g06690_downstream_1k;At1g06680	At1g06680	2972.93	1332.06	-1.16	0.02	133.13	19.20	75.95	39.55	51.28	37.80	71.83	54.53	15.91
											At1g06690	34.27	36.16	0.08	0.95	1.48	0.53	14.00	9.76	14.90	10.69	16.79	10.30	1.64
AGO1_peak_20	Chr1	2155806	2156207	-1.12	3.95	4.35	9.47	8.87	11.57	At1g07020	At1g07020	29.72	31.56	0.09	0.97	1.44	1.64	25.18	24.33	25.82	20.39	28.20	27.89	1.05
AGO1_peak_21	Chr1	2240568	2241044	-0.37	9.72	3.95	17.57	14.6	12.85	At1g07280	At1g07280	41.61	33.32	-0.32	0.62	5.03	1.58	24.77	16.30	26.36	14.12	38.40	19.08	2.14
AGO1_peak_22	Chr1	2241089	2241526	-2.04	7.42	4.37	12.35	10.97	12.79	At1g07280;At1g07280_downstream_1k;At1g07290_downstream_1k	At1g07280	41.61	33.32	-0.32	0.62	5.03	1.58	24.77	16.30	26.36	14.12	38.40	19.08	2.14
											At1g07290	0.87	0.79	-0.15	1.00	0.18	0.23	6.05	6.56	7.11	6.09	6.31	6.03	0.13
AGO1_peak_23	Chr1	2316222	2316524	2.58	3.29	6.59	13.94	8.56	13.62	At1g07530	At1g07530	13.89	14.52	0.06	0.96	1.86	1.46	13.39	11.97	16.54	16.68	20.81	18.60	0.39
AGO1_peak_24	Chr1	2472328	2472610	-4.72	1.48	7.07	14.09	10.89	14.58	At1g07970	At1g07970	8.61	8.48	-0.02	0.99	0.88	0.89	6.82	8.02	10.11	9.26	8.15	7.77	0.33
AGO1_peak_25	Chr1	2641620	2641814	-3	9.79	8.86	27.52	22.5	23.92	At1g08380	At1g08380	2562.66	903.86	-1.50	0.00	194.18	21.22	73.70	34.29	43.25	37.46	64.15	54.58	15.08
AGO1_peak_26	Chr1	2710940	2711461	-1.51	5.16	4	8.42	9.83	10.12	At1g08560_promoter_1k	At1g08560	43.68	30.40	-0.52	0.34	2.41	0.92	21.76	10.86	19.29	13.22	30.11	13.54	3.05
AGO1_peak_27	Chr1	2712032	2712512	-0.29	5.66	6.2	11.12	10.44	10.98	At1g08570_promoter_1k	At1g08570	44.25	63.12	0.51	0.34	3.01	1.63	28.29	16.47	32.83	25.35	46.04	32.89	1.96
AGO1_peak_28	Chr1	2714119	2715034	-2.95	8.55	1.73	13.87	13.31	14.41	At1g08570;At1g08570_downstream_1k;At1g08580_downstream_1k	At1g08570	44.25	63.12	0.51	0.34	3.01	1.63	28.29	16.47	32.83	25.35	46.04	32.89	1.96
											At1g08580	40.75	45.99	0.17	0.86	5.74	2.70	14.83	12.68	18.44	18.94	22.05	22.09	0.00
AGO1_peak_29	Chr1	2735755	2736156	-6.22	4.95	3.91	12.87	11.02	13.94	At1g08610_promoter_1k;At1g08620_promoter_1k	At1g08610	5.05	4.67	-0.11	0.93	0.45	1.13	9.70	9.13	11.74	11.15	10.44	9.44	1.80
											At1g08620	10.83	11.92	0.14	0.89	1.92	1.56	8.71	8.72	12.09	11.54	10.10	10.26	0.44
AGO1_peak_30	Chr1	2991365	2991555	-0.54	2.03	9.96	17.79	11.63	21.09	.	NA													
AGO1_peak_31	Chr1	3017901	3018574	-0.97	7	2.37	13.57	10.01	10.03	At1g09340_downstream_1k	At1g09340	759.08	474.67	-0.68	0.19	9.07	1.54	12.24	11.31	23.69	10.82	29.39	11.05	2.49
AGO1_peak_32	Chr1	3072518	3072862	-2.29	1.58	9.69	13.28	14.88	14.1	At1g09520_promoter_1k	At1g09520	14.52	14.67	0.01	0.99	1.89	2.02	19.48	15.02	14.95	14.69	18.94	19.46	0.00
AGO1_peak_33	Chr1	3157371	3159589	-2.87	6.12	4.42	14.09	14.55	16.02	At1g09750	At1g09750	318.97	196.98	-0.70	0.17	54.90	9.31	60.00	32.26	36.76	23.10	53.84	28.41	6.09
AGO1_peak_34	Chr1	3430256	3430588	-4.32	0.99	4.23	13.94	12.5	11.75	At1g10430	At1g10430	19.95	22.24	0.16	0.88	1.49	0.91	12.73	11.17	17.33	16.83	18.51	16.81	1.29
AGO1_peak_35	Chr1	3529497	3529824	-6.68	9.16	0.04	13.6	11.21	11.29	At1g10657_promoter_1k	At1g10657	21.82	11.02	-0.99	0.07	2.69	0.79	16.74	9.92	13.61	7.49	20.71	10.44	0.20
AGO1_peak_36	Chr1	3611546	3611981	-1.03	7.07	6.18	10.91	9.29	8	At1g10850	At1g10850	13.66	6.32	-1.11	0.06	2.08	1.54	12.29	8.72	12.34	11.09	14.05	10.09	0.39
