# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "snoRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_snoRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G04187.1	1	875056	875189	-	134	4	3	1	3	8	10	3	6
transcript:AT1G04193.1	1	875224	875340	-	117	2	2	3	1	0	1	2	4
transcript:AT1G03502.1	1	875358	875471	-	114	6	3	7	11	6	2	3	3
transcript:AT1G03506.1	1	875518	875604	-	87	8	11	3	2	2	2	3	5
transcript:AT1G04197.1	1	875679	875823	-	145	3	2	5	0	1	1	7	7
transcript:AT1G04213.1	1	937032	937141	-	110	2	0	0	2	3	1	1	1
transcript:AT1G03743.1	1	937207	937287	-	81	1	0	0	0	0	0	1	0
transcript:AT1G03746.1	1	937401	937485	-	85	0	0	0	0	0	0	0	0
transcript:AT1G04217.1	1	1008592	1008735	+	144	16	11	9	5	8	8	17	13
transcript:AT1G03935.1	1	1008810	1008896	+	87	14	11	7	20	3	8	11	11
transcript:AT1G04223.1	1	1009073	1009189	+	117	7	9	7	7	3	3	11	3
transcript:AT1G04227.1	1	1009249	1009356	+	108	2	4	8	4	2	1	1	6
transcript:AT1G04267.1	1	1216552	1216691	+	140	7	7	12	12	3	1	6	5
transcript:AT1G04273.1	1	1216722	1216865	+	144	4	6	9	2	5	1	5	4
transcript:AT1G04277.1	1	1216921	1217061	+	141	3	5	14	9	8	8	3	8
transcript:AT1G04517.1	1	2107313	2107396	-	84	0	1	0	0	2	0	0	0
transcript:AT1G04527.1	1	2111064	2111147	-	84	0	0	0	0	0	0	0	0
transcript:AT1G04547.1	1	2156221	2156306	-	86	0	1	0	1	0	0	0	2
transcript:AT1G07702.1	1	2382251	2382331	-	81	11	30	14	15	30	28	16	16
transcript:AT1G12013.1	1	4058287	4058416	+	130	1	2	2	0	2	6	0	2
transcript:AT1G12015.1	1	4058487	4058576	+	90	0	0	0	0	0	0	0	0
transcript:AT1G05137.1	1	5170210	5170307	-	98	0	1	0	0	0	1	1	0
transcript:AT1G05247.1	1	5686093	5686179	-	87	3	2	2	3	1	6	1	0
transcript:AT1G05417.1	1	6465796	6465869	-	74	13	15	19	19	23	24	14	17
transcript:AT1G05423.1	1	6465930	6466011	-	82	13	8	25	25	24	13	12	16
transcript:AT1G05427.1	1	6466092	6466188	-	97	19	15	26	15	26	16	17	20
transcript:AT1G05433.1	1	6466303	6466371	-	69	6	8	11	2	10	9	5	14
transcript:AT1G19373.1	1	6697178	6697253	+	76	0	0	1	2	3	1	0	1
transcript:AT1G19376.1	1	6697438	6697524	+	87	0	0	0	1	0	0	1	0
transcript:AT1G20015.1	1	6941285	6941373	+	89	2	1	3	4	1	2	2	0
transcript:AT1G05563.1	1	7176122	7176189	-	68	16	19	30	24	13	26	21	21
transcript:AT1G05907.1	1	8756228	8756303	-	76	0	0	0	0	0	1	0	0
transcript:AT1G05917.1	1	8756361	8756459	-	99	3	8	0	8	16	12	6	0
transcript:AT1G26233.1	1	9076048	9076182	-	135	0	1	2	1	0	3	3	2
transcript:AT1G05993.1	1	9076304	9076386	-	83	1	2	0	0	3	0	0	0
transcript:AT1G05997.1	1	9076445	9076638	-	194	5	2	2	0	5	3	0	0
transcript:AT1G06033.1	1	9316015	9316161	-	147	8	8	10	13	5	5	6	5
transcript:AT1G06087.1	1	9515628	9515750	+	123	10	0	5	4	1	1	0	0
transcript:AT1G29071.1	1	10151668	10151774	-	107	4	0	3	1	4	3	1	5
transcript:AT1G06233.1	1	10300351	10300453	+	103	29	44	39	33	25	21	16	31
transcript:AT1G06237.1	1	10300489	10300565	+	77	31	46	37	16	33	19	28	20
transcript:AT1G06243.1	1	10300619	10300699	+	81	42	38	34	20	30	26	27	34
transcript:AT1G06247.1	1	10300749	10300834	+	86	16	15	11	17	16	14	16	17
transcript:AT1G06253.1	1	10300882	10301021	+	140	63	102	91	90	71	82	84	95
transcript:AT1G06263.1	1	10308751	10308840	+	90	12	12	11	8	0	3	13	10
transcript:AT1G06267.1	1	10308881	10308957	+	77	3	7	4	4	2	2	2	9
transcript:AT1G06273.1	1	10309011	10309092	+	82	2	9	4	6	3	3	1	12
transcript:AT1G06277.1	1	10309131	10309220	+	90	1	7	5	5	5	2	6	6
transcript:AT1G06283.1	1	10309265	10309404	+	140	22	35	14	28	13	4	24	22
transcript:AT1G06397.1	1	11040576	11040721	-	146	70	80	96	90	77	82	73	107
transcript:AT1G06453.1	1	11423317	11423487	-	171	18	33	16	6	15	14	22	32
transcript:AT1G06457.1	1	11435420	11435573	-	154	2	11	4	3	3	6	2	11
transcript:AT1G06463.1	1	11435788	11435981	-	194	16	17	12	8	12	11	8	8
transcript:AT1G06467.1	1	11436074	11436272	-	199	0	0	3	1	0	4	0	0
transcript:AT1G06547.1	1	11684910	11684994	+	85	9	13	5	3	10	9	8	4
transcript:AT1G32385.1	1	11685060	11685144	+	85	6	4	1	0	5	4	3	7
transcript:AT1G06553.1	1	11685235	11685376	+	142	2	5	4	5	5	7	1	4
transcript:AT1G06667.1	1	12083969	12084054	+	86	0	0	0	1	2	1	0	0
transcript:AT1G06673.1	1	12097190	12097275	-	86	0	0	0	0	2	0	0	0
transcript:AT1G07393.1	1	17483905	17483957	-	53	0	0	1	0	0	0	0	0
transcript:AT1G07487.1	1	17910854	17910956	+	103	0	0	0	0	0	0	0	0
transcript:AT1G07593.1	1	18428009	18428096	-	88	0	0	0	0	0	1	0	0
transcript:AT1G07897.1	1	19981416	19981565	+	150	37	32	43	36	82	55	26	23
transcript:AT1G07903.1	1	19981637	19981752	+	116	14	21	29	24	32	37	18	11
transcript:AT1G07957.1	1	20260311	20260398	+	88	1	0	0	0	3	2	1	0
transcript:AT1G08107.1	1	21052348	21052422	-	75	3	1	0	2	4	6	0	0
transcript:AT1G08113.1	1	21052483	21052567	-	85	0	0	0	1	1	2	0	0
transcript:AT1G08117.1	1	21052627	21052715	-	89	0	0	0	0	1	1	0	0
transcript:AT1G08123.1	1	21052867	21052953	-	87	3	0	2	0	0	1	1	0
transcript:AT1G08327.1	1	22313324	22313411	-	88	0	0	0	0	0	1	1	0
transcript:AT1G08347.1	1	22394549	22394634	-	86	0	0	0	0	0	0	0	0
transcript:AT1G08353.1	1	22428241	22428327	+	87	0	0	0	0	0	0	0	0
transcript:AT1G08643.1	1	23701178	23701304	+	127	5	4	11	9	17	38	7	7
transcript:AT1G08937.1	1	25262574	25262706	+	133	4	2	2	3	3	2	0	5
transcript:AT1G09027.1	1	25926968	25927100	-	133	75	69	57	48	33	68	59	89
transcript:AT1G09083.1	1	26190297	26190434	+	138	16	9	24	16	14	13	9	13
transcript:AT1G09087.1	1	26190603	26190685	+	83	10	6	10	6	11	6	5	4
transcript:AT1G09333.1	1	27348657	27348791	+	135	99	180	145	148	62	48	123	151
transcript:AT1G74453.1	1	27984604	27984713	-	110	45	48	40	33	42	33	43	38
transcript:AT1G74456.1	1	27984745	27984826	-	82	45	39	19	39	33	34	39	42
transcript:AT1G09467.1	1	27984975	27985042	-	68	22	30	27	22	30	22	35	38
transcript:AT1G09533.1	1	28212219	28212357	+	139	17	13	15	13	12	3	14	8
transcript:AT1G75163.1	1	28212395	28212474	+	80	8	6	7	8	16	3	9	3
transcript:AT1G75166.1	1	28212518	28212603	+	86	18	21	19	12	13	15	21	24
transcript:AT1G09787.1	1	29422295	29422360	+	66	0	1	2	5	6	4	2	4
transcript:AT1G09867.1	1	29911240	29911379	-	140	6	10	6	16	9	13	12	10
transcript:AT1G09873.1	1	29911424	29911447	-	24	0	1	3	2	2	4	3	0
transcript:AT1G09877.1	1	29911623	29911708	-	86	10	4	6	2	8	5	7	4
transcript:AT1G09883.1	1	29911741	29911812	-	72	3	5	6	4	8	8	8	9
transcript:AT2G05765.1	2	2184567	2184645	-	79	21	18	16	22	21	37	18	17
transcript:AT2G04955.1	2	2184672	2184820	-	149	47	31	48	57	56	75	28	43
transcript:AT2G04965.1	2	2185022	2185087	-	66	25	15	20	18	25	33	18	15
transcript:AT2G05525.1	2	4054966	4055050	-	85	0	0	0	0	0	0	0	0
transcript:AT2G05565.1	2	4224882	4224967	-	86	0	0	0	0	0	0	0	0
transcript:AT2G06855.1	2	7520507	7520579	+	73	1	0	4	1	1	1	0	3
transcript:AT2G06865.1	2	7520753	7520902	+	150	0	0	1	5	1	4	5	4
transcript:AT2G17295.1	2	7520942	7521021	+	80	0	0	1	0	1	0	1	0
transcript:AT2G20721.1	2	8931565	8931655	-	91	17	17	24	25	16	8	17	19
transcript:AT2G20722.1	2	8931708	8931782	-	75	11	8	13	12	4	7	3	14
transcript:AT2G20723.1	2	8931849	8931922	-	74	9	8	5	9	4	11	8	11
transcript:AT2G07605.1	2	9560355	9560446	+	92	0	2	2	1	5	4	0	4
transcript:AT2G07615.1	2	9560536	9560623	+	88	0	3	0	0	1	0	0	0
transcript:AT2G08370.1	2	12881664	12881750	+	87	0	0	1	0	0	0	0	0
transcript:AT2G08375.1	2	12882818	12882893	+	76	1	0	0	0	0	0	0	0
transcript:AT2G08390.1	2	12975859	12975945	-	87	0	0	0	0	0	0	0	0
transcript:AT2G08580.1	2	14163648	14163769	+	122	1	0	3	1	0	2	1	8
transcript:AT2G08585.1	2	14163825	14163975	+	151	3	0	0	10	2	5	5	5
transcript:AT2G35382.1	2	14894380	14894455	-	76	0	0	2	0	0	0	0	1
