# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "lnc_RNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_lnc_RNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G03987.1	1	11101	11372	+	272	0	0	0	0	0	0	1	0
transcript:AT1G03993.1	1	23312	24099	-	788	52	87	99	90	141	144	84	123
transcript:AT1G03997.1	1	32727	33009	+	283	0	0	2	0	0	0	0	0
transcript:AT1G04003.1	1	43087	43295	-	209	0	0	0	0	0	0	0	0
transcript:AT1G04007.1	1	72646	73108	-	463	81	68	73	81	94	75	88	86
transcript:AT1G04013.1	1	74435	74683	+	249	146	196	177	207	139	196	199	225
transcript:AT1G04017.1	1	90169	90401	-	233	17	35	28	27	19	21	13	13
transcript:AT1G04023.1	1	91356	91685	-	330	10	13	20	12	11	9	10	26
transcript:AT1G01448.1	1	163278	166353	+	3076	0	0	0	0	0	0	0	0
transcript:AT1G01448.2	1	163278	166353	+	3076	0	0	0	0	0	0	0	0
transcript:AT1G01448.3	1	163302	166307	+	3006	0	0	0	0	0	0	0	0
transcript:AT1G04033.1	1	255022	255384	+	363	0	0	2	0	0	0	0	1
transcript:AT1G04037.1	1	258717	258963	-	247	4	4	5	3	2	2	8	6
transcript:AT1G04043.1	1	267993	268336	-	344	0	0	0	0	0	0	0	0
transcript:AT1G04047.1	1	270067	270517	+	451	4	33	8	10	14	35	17	7
transcript:AT1G04053.1	1	275473	276319	-	847	67	106	58	48	22	32	60	78
transcript:AT1G04063.1	1	291594	292061	-	468	0	0	0	0	0	1	0	1
transcript:AT1G04067.1	1	303463	303977	-	515	32	16	24	29	13	9	22	28
transcript:AT1G04073.1	1	304481	304713	+	233	12	33	34	18	16	10	20	26
transcript:AT1G04077.1	1	311828	312884	-	1057	101	59	99	72	80	125	57	84
transcript:AT1G04083.1	1	314189	314463	+	275	45	36	51	63	55	37	42	46
transcript:AT1G04087.1	1	402086	402294	+	209	0	0	1	0	0	0	0	0
transcript:AT1G04093.1	1	424666	425164	+	499	0	0	0	0	1	0	3	0
transcript:AT1G04097.1	1	455880	456198	-	319	62	81	60	91	129	122	70	102
transcript:AT1G04103.1	1	459122	459983	+	862	0	1	0	2	14	6	0	0
transcript:AT1G04103.2	1	460325	461921	+	1597	4	0	5	0	9	0	2	0
transcript:AT1G04117.1	1	494008	495548	-	1541	133	129	141	118	134	103	126	129
transcript:AT1G04123.1	1	495887	496190	+	304	1	0	2	0	10	5	2	1
transcript:AT1G04127.1	1	551289	551529	-	241	0	0	0	0	0	0	0	0
transcript:AT1G04133.1	1	558071	558492	-	422	27	47	5	14	0	0	50	31
transcript:AT1G04137.1	1	559735	560251	+	517	0	0	0	0	0	0	0	0
transcript:AT1G04143.1	1	583471	583860	-	390	0	0	0	0	0	0	0	0
transcript:AT1G04147.1	1	636337	636614	-	278	30	21	22	13	3	6	23	24
transcript:AT1G04153.1	1	637772	638231	+	460	0	0	0	0	0	0	0	0
transcript:AT1G02952.1	1	665354	666367	+	1014	58	80	48	72	91	80	54	132
transcript:AT1G02952.2	1	665881	666136	+	256	0	0	0	0	0	0	0	0
transcript:AT1G04157.1	1	742298	742522	-	225	58	54	21	23	21	6	117	71
transcript:AT1G04163.1	1	744724	746147	+	1424	69	89	60	92	40	49	75	36
transcript:AT1G04167.1	1	760884	761099	-	216	0	0	0	0	0	0	1	0
transcript:AT1G04173.1	1	767037	767385	-	349	4	5	10	12	5	3	3	2
transcript:AT1G04177.1	1	780107	780409	+	303	0	2	0	0	0	1	0	0
transcript:AT1G04183.1	1	845677	847683	+	2007	433	482	557	521	379	415	426	569
transcript:AT1G03545.1	1	885941	887906	+	1966	0	0	0	0	0	0	0	0
transcript:AT1G03545.2	1	885941	887972	+	2032	16	8	14	18	6	7	9	3
transcript:AT1G04203.1	1	913390	913595	+	206	0	2	2	3	0	1	4	2
transcript:AT1G04207.1	1	926989	927200	-	212	0	0	0	0	0	0	0	0
transcript:AT1G04233.1	1	1018123	1018514	-	392	198	196	197	278	279	275	193	199
transcript:AT1G04237.1	1	1043118	1043415	+	298	55	117	84	113	57	52	70	134
transcript:AT1G04243.1	1	1072574	1072780	-	207	0	0	0	0	0	0	0	0
transcript:AT1G04247.1	1	1120225	1122526	+	2302	95	156	208	198	236	250	62	179
transcript:AT1G04253.1	1	1134308	1134997	-	690	0	0	0	0	0	0	0	0
transcript:AT1G04295.1	1	1147781	1148435	+	655	171	168	168	200	213	196	191	119
transcript:AT1G04257.1	1	1178925	1179176	+	252	0	0	0	0	0	0	0	0
transcript:AT1G04283.1	1	1299553	1299796	+	244	0	0	0	0	0	0	0	0
transcript:AT1G04287.1	1	1333696	1334012	+	317	0	0	0	0	0	0	0	0
transcript:AT1G04293.1	1	1382790	1383059	-	270	0	0	0	0	0	0	0	0
transcript:AT1G04297.1	1	1385478	1386132	-	655	10	24	19	20	32	27	11	23
transcript:AT1G04303.1	1	1388988	1389225	+	238	14	31	18	19	32	35	26	32
transcript:AT1G04307.1	1	1429442	1429889	-	448	0	2	0	0	0	0	0	0
transcript:AT1G04313.1	1	1444692	1445039	-	348	5	5	12	9	19	11	6	5
transcript:AT1G04323.1	1	1446835	1447073	+	239	5	7	5	8	7	7	1	4
transcript:AT1G04327.1	1	1461934	1462157	+	224	0	0	0	0	0	0	0	0
transcript:AT1G04333.1	1	1462043	1462340	-	298	0	0	0	0	0	0	0	0
transcript:AT1G04337.1	1	1496735	1497102	+	368	0	0	0	0	0	0	0	0
transcript:AT1G04343.1	1	1508646	1509015	-	370	76	126	155	113	130	138	67	89
transcript:AT1G04347.1	1	1509751	1510161	+	411	29	41	30	48	54	70	29	51
transcript:AT1G04353.1	1	1512618	1514562	+	1945	175	204	210	239	121	140	135	177
transcript:AT1G04357.1	1	1523561	1524069	-	509	3	5	4	0	0	1	0	2
transcript:AT1G04363.1	1	1523594	1523943	+	350	0	0	0	0	0	0	0	0
transcript:AT1G04367.1	1	1524572	1525242	-	671	1	3	2	1	1	3	0	2
transcript:AT1G04373.1	1	1538273	1538484	-	212	0	0	0	0	0	0	0	0
transcript:AT1G04377.1	1	1542969	1543287	-	319	0	0	0	0	0	0	0	0
transcript:AT1G04383.1	1	1543157	1543394	+	238	0	0	0	0	0	0	0	0
transcript:AT1G04387.1	1	1543643	1544093	+	451	0	0	0	0	0	0	0	0
transcript:AT1G05562.1	1	1645300	1647435	+	2136	4246	4375	4961	6060	3379	2828	3248	1534
transcript:AT1G04397.1	1	1661408	1661614	+	207	0	1	4	0	0	0	0	0
transcript:AT1G04403.1	1	1693476	1693804	-	329	0	0	0	0	0	0	0	0
transcript:AT1G04407.1	1	1713479	1713740	-	262	0	0	0	0	0	0	0	0
transcript:AT1G04413.1	1	1717730	1718089	+	360	15	13	16	19	31	26	14	17
transcript:AT1G04417.1	1	1719300	1719659	-	360	0	0	0	0	0	1	0	0
transcript:AT1G04427.1	1	1729587	1729890	+	304	1	7	7	6	3	11	13	9
transcript:AT1G04433.1	1	1762363	1762693	-	331	89	127	103	127	37	52	108	122
transcript:AT1G04437.1	1	1764573	1764829	+	257	10	7	6	18	25	10	10	16
transcript:AT1G06002.1	1	1820254	1821887	+	1634	634	815	1008	935	934	872	454	544
transcript:AT1G04443.1	1	1839483	1839729	-	247	0	0	0	0	0	0	0	0
transcript:AT1G04447.1	1	1887404	1887728	+	325	0	0	0	0	0	0	0	0
transcript:AT1G06265.1	1	1914943	1917661	-	2719	8	28	15	25	15	23	17	31
transcript:AT1G06265.2	1	1915008	1916278	-	1271	0	0	0	0	0	0	0	0
transcript:AT1G06265.3	1	1916444	1916957	-	514	0	0	0	0	0	0	0	0
transcript:AT1G04453.1	1	1953734	1954192	-	459	0	1	0	0	0	0	0	0
transcript:AT1G04463.1	1	1966019	1966939	-	921	87	81	78	83	74	50	77	68
transcript:AT1G04467.1	1	1968861	1969332	+	472	338	363	319	386	249	284	280	299
transcript:AT1G04473.1	1	1989682	1990158	-	477	15	30	19	26	30	31	8	23
transcript:AT1G04477.1	1	1991587	1991970	+	384	51	50	60	53	57	53	65	77
transcript:AT1G04483.1	1	2010883	2011109	-	227	17	5	11	2	1	3	11	4
transcript:AT1G04487.1	1	2035718	2036257	-	540	409	463	386	460	602	553	483	452
transcript:AT1G04493.1	1	2055991	2056304	+	314	19	6	20	21	10	11	12	13
transcript:AT1G04497.1	1	2056863	2057170	+	308	4	8	13	5	12	10	11	6
transcript:AT1G04503.1	1	2076515	2076998	+	484	955	1093	1166	1331	916	1115	972	1251
transcript:AT1G04507.1	1	2088988	2089235	-	248	8	14	11	18	20	17	18	9
transcript:AT1G04513.1	1	2089765	2090865	+	1101	88	93	85	96	224	165	83	102
transcript:AT1G04523.1	1	2107815	2108063	-	249	0	0	0	0	0	1	0	0
transcript:AT1G04533.1	1	2127414	2127973	-	560	2	1	8	6	0	1	1	0
transcript:AT1G04537.1	1	2155213	2155622	+	410	130	122	140	144	227	222	142	158
transcript:AT1G04557.1	1	2166659	2166864	+	206	2	0	4	4	0	0	0	0
transcript:AT1G07119.1	1	2184318	2187941	+	3624	0	0	0	0	0	0	0	0
transcript:AT1G07119.2	1	2184318	2187941	+	3624	0	0	0	0	0	0	0	0
transcript:AT1G07119.3	1	2184318	2187941	+	3624	0	0	0	0	0	0	0	0
transcript:AT1G07119.4	1	2184327	2187941	+	3615	0	0	0	0	0	0	0	0
transcript:AT1G07119.5	1	2185048	2187936	+	2889	0	0	0	0	0	0	0	0
transcript:AT1G04563.1	1	2186933	2187181	+	249	0	0	0	0	0	0	0	0
transcript:AT1G07128.1	1	2187566	2188734	-	1169	94	125	94	135	144	126	117	118
transcript:AT1G04567.1	1	2218886	2219281	+	396	10	12	4	20	15	21	9	18
transcript:AT1G04573.1	1	2241511	2241744	-	234	0	0	0	0	0	0	0	0
transcript:AT1G04577.1	1	2293014	2293251	-	238	0	0	0	3	6	4	1	1
transcript:AT1G04583.1	1	2294889	2295488	+	600	2	0	2	0	0	0	2	2
transcript:AT1G04587.1	1	2297262	2297552	+	291	38	35	37	38	42	53	27	45
transcript:AT1G04593.1	1	2321382	2321961	+	580	0	0	0	0	0	0	0	0
transcript:AT1G04597.1	1	2334333	2334599	+	267	0	0	0	0	0	0	0	0
transcript:AT1G04603.1	1	2340559	2341109	+	551	0	0	0	0	0	0	0	0
transcript:AT1G04607.1	1	2348027	2348447	-	421	0	0	0	0	0	0	0	0
transcript:AT1G04623.1	1	2394236	2394474	-	239	0	0	0	0	0	0	0	0
transcript:AT1G07728.2	1	2394985	2397399	+	2415	0	0	0	0	0	0	0	0
transcript:AT1G07728.1	1	2394985	2397399	+	2415	0	0	0	0	0	0	0	0
transcript:AT1G04643.2	1	2538664	2539548	-	885	0	0	0	0	0	0	0	0
transcript:AT1G04643.1	1	2538664	2539548	-	885	0	0	0	0	0	0	0	0
transcript:AT1G04647.1	1	2620439	2621546	+	1108	188	245	144	261	167	168	260	149
transcript:AT1G04653.1	1	2629836	2630042	+	207	0	0	0	0	0	0	0	0
transcript:AT1G08592.1	1	2718616	2721910	-	3295	14	15	26	15	19	20	26	36
transcript:AT1G08592.2	1	2718875	2721676	-	2802	0	0	0	0	0	0	0	0
transcript:AT1G04657.1	1	2736598	2736830	-	233	6	9	8	12	12	5	2	4
transcript:AT1G04667.1	1	2825588	2825978	+	391	0	0	0	0	0	0	0	0
transcript:AT1G04673.1	1	2861646	2861854	-	209	0	0	0	0	0	0	0	0
transcript:AT1G04677.1	1	2864583	2865011	-	429	0	0	0	0	0	0	0	0
transcript:AT1G04683.1	1	2865518	2865792	-	275	0	0	0	0	0	0	0	0
transcript:AT1G04687.1	1	2987676	2987995	-	320	0	0	0	0	0	0	0	0
transcript:AT1G04693.1	1	2987676	2988104	+	429	0	0	0	0	0	0	0	0
transcript:AT1G04697.1	1	3031497	3032139	-	643	6	3	9	8	8	10	6	5
transcript:AT1G09421.1	1	3038631	3039326	+	696	91	91	66	68	124	84	73	57
transcript:AT1G04703.1	1	3083820	3084222	+	403	0	0	0	0	0	0	2	0
transcript:AT1G04707.1	1	3111746	3112619	-	874	20	27	21	22	0	16	14	8
transcript:AT1G04713.1	1	3125307	3125609	-	303	2	0	2	0	3	0	0	0
transcript:AT1G04717.1	1	3131952	3132215	-	264	0	0	0	0	0	0	0	0
transcript:AT1G04723.1	1	3173866	3174422	-	557	38	33	35	27	19	16	30	36
transcript:AT1G04737.1	1	3202274	3202774	-	501	33	41	46	41	70	95	38	35
