Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT1G04057.1	1	4	3	4
transcript:AT1G04425.1	59	41	109	66
transcript:AT1G10682.1	630	728	924	967
transcript:AT1G11175.1	225	268	163	151
transcript:AT1G11185.1	70	72	79	62
transcript:AT1G11592.2	0	2	3	0
transcript:AT1G11592.1	1	0	0	0
transcript:AT1G04867.1	0	0	0	0
transcript:AT1G14518.1	1	3	0	0
transcript:AT1G15405.1	45	19	20	57
transcript:AT1G16635.1	6	8	1	12
transcript:AT1G05257.1	9	9	12	6
transcript:AT1G05353.1	16	10	4	0
transcript:AT1G18745.1	77	86	130	104
transcript:AT1G05463.1	26	42	50	31
transcript:AT1G19968.1	4	3	0	0
transcript:AT1G05547.1	2	0	0	0
transcript:AT1G21529.1	2	4	36	14
transcript:AT1G05697.1	0	0	0	0
transcript:AT1G22403.2	3	8	9	12
transcript:AT1G22403.1	0	0	0	0
transcript:AT1G23052.1	245	282	48	64
transcript:AT1G05813.1	0	0	4	0
transcript:AT1G24068.1	0	0	0	2
transcript:AT1G25175.2	0	0	0	0
transcript:AT1G25175.3	0	0	0	0
transcript:AT1G25175.4	0	0	0	0
transcript:AT1G25175.1	0	0	0	0
transcript:AT1G25175.5	0	0	0	0
transcript:AT1G26235.1	5	2	5	2
transcript:AT1G26558.1	0	0	0	0
transcript:AT1G26558.2	0	0	0	0
transcript:AT1G31258.1	33	33	51	61
transcript:AT1G31935.1	62	75	28	4
transcript:AT1G32172.1	4	5	10	2
transcript:AT1G06677.1	0	0	0	0
transcript:AT1G33615.6	9	1	5	6
transcript:AT1G33615.1	0	0	0	0
transcript:AT1G33615.5	0	0	0	0
transcript:AT1G33615.4	0	0	0	0
transcript:AT1G33615.2	0	0	0	0
transcript:AT1G33615.3	0	0	0	0
transcript:AT1G34392.1	0	0	0	0
transcript:AT1G34418.1	339	392	396	379
transcript:AT1G06797.1	0	0	0	0
transcript:AT1G43765.1	14	25	12	10
transcript:AT1G07257.1	0	0	0	0
transcript:AT1G46554.1	146	185	144	126
transcript:AT1G07507.1	0	0	0	0
transcript:AT1G07543.1	0	4	2	5
transcript:AT1G49832.2	0	0	0	0
transcript:AT1G49832.1	0	0	0	0
transcript:AT1G49952.1	6	2	6	2
transcript:AT1G50055.1	109	74	101	140
transcript:AT1G07647.1	29	22	14	14
transcript:AT1G50659.1	191	212	283	183
transcript:AT1G07757.1	10	9	7	6
transcript:AT1G52347.1	0	0	0	0
transcript:AT1G52347.2	0	0	0	0
transcript:AT1G52615.2	0	0	0	0
transcript:AT1G52615.1	0	0	0	0
transcript:AT1G07847.1	17	29	21	24
transcript:AT1G07963.1	26	21	59	61
transcript:AT1G07977.1	0	0	1	0
transcript:AT1G55525.1	2	0	41	81
transcript:AT1G57835.1	0	0	0	0
transcript:AT1G58590.2	7	6	22	12
transcript:AT1G58590.1	1	1	2	0
transcript:AT1G58808.1	0	0	0	0
transcript:AT1G08253.1	0	0	0	0
transcript:AT1G08427.1	27	22	30	32
transcript:AT1G08493.1	0	0	0	0
transcript:AT1G08547.1	27	33	56	108
transcript:AT1G64563.1	40	53	92	80
transcript:AT1G64572.1	64	114	142	122
transcript:AT1G64618.1	5	2	2	0
transcript:AT1G08747.1	70	104	50	51
transcript:AT1G08747.2	266	297	145	198
transcript:AT1G66173.1	18	14	16	9
transcript:AT1G08823.1	0	0	0	0
transcript:AT1G67105.1	64	54	62	79
transcript:AT1G67238.1	0	0	0	0
transcript:AT1G08933.1	0	0	2	0
transcript:AT1G68568.1	161	158	318	299
transcript:AT1G68568.2	0	0	0	0
transcript:AT1G68568.3	0	0	0	4
transcript:AT1G68872.4	2	4	4	1
transcript:AT1G68872.1	0	0	0	0
transcript:AT1G68872.2	0	0	0	0
transcript:AT1G68872.3	0	0	0	0
transcript:AT1G69252.2	0	0	0	0
transcript:AT1G69252.1	0	1	0	0
transcript:AT1G09073.1	0	0	0	0
transcript:AT1G70185.1	2	7	5	11
transcript:AT1G70518.1	95	80	121	94
transcript:AT1G70581.1	10	16	37	11
transcript:AT1G09277.1	0	0	0	0
transcript:AT1G09583.1	0	0	0	0
transcript:AT1G77138.1	13	27	10	17
transcript:AT1G78865.1	66	67	65	56
transcript:AT1G09837.1	31	55	23	29
transcript:AT1G09843.1	64	71	91	67
transcript:AT1G79075.1	2	11	7	8
transcript:AT1G79075.2	0	0	0	0
transcript:AT1G09903.1	30	70	50	44
transcript:AT1G09923.1	2	1	1	2
transcript:AT2G01422.1	0	0	0	0
transcript:AT2G01422.2	0	0	0	0
transcript:AT2G04705.1	0	0	0	0
transcript:AT2G05518.1	22	42	11	16
transcript:AT2G05995.1	14	10	4	10
transcript:AT2G06002.1	22	24	49	45
transcript:AT2G06562.1	0	2	0	0
transcript:AT2G07042.1	72	110	799	674
transcript:AT2G10537.1	0	0	0	0
transcript:AT2G05685.1	0	0	0	0
transcript:AT2G14878.1	697	695	1060	1066
transcript:AT2G15128.1	40	43	44	36
transcript:AT2G15292.1	378	394	198	294
transcript:AT2G15555.1	4	0	0	0
transcript:AT2G18440.2	14	27	14	3
transcript:AT2G18440.1	0	0	0	0
transcript:AT2G18735.1	100	100	102	81
transcript:AT2G19796.1	0	0	0	0
transcript:AT2G21188.1	20	56	208	142
transcript:AT2G07405.1	0	0	0	0
transcript:AT2G07575.1	0	0	1	0
transcript:AT2G22482.1	20	26	12	37
transcript:AT2G07975.1	0	0	0	0
transcript:AT2G24735.1	2	2	1	5
transcript:AT2G08135.1	27	32	23	17
transcript:AT2G27400.1	85	126	180	164
transcript:AT2G08205.1	3	6	15	13
transcript:AT2G08330.1	247	247	124	171
transcript:AT2G30115.1	0	0	0	0
transcript:AT2G30945.2	0	0	0	0
transcript:AT2G30945.1	0	0	0	0
transcript:AT2G30945.3	0	0	0	0
transcript:AT2G31585.1	0	0	0	0
transcript:AT2G31585.2	0	0	0	0
transcript:AT2G08475.1	150	198	771	553
transcript:AT2G31902.1	44	58	79	67
transcript:AT2G31902.2	0	0	0	0
transcript:AT2G31902.3	0	0	0	0
transcript:AT2G31902.4	0	2	2	5
transcript:AT2G31902.5	104	85	62	102
transcript:AT2G32795.1	35	27	38	58
transcript:AT2G08610.1	14	7	3	3
transcript:AT2G08745.1	1	5	4	5
transcript:AT2G36307.1	30	58	25	23
transcript:AT2G08915.1	46	51	122	91
transcript:AT2G08915.2	349	441	781	598
transcript:AT2G09000.1	2	3	8	8
transcript:AT2G09035.1	0	0	0	0
transcript:AT2G09045.1	22	16	7	6
transcript:AT2G39675.1	91	128	675	562
transcript:AT2G39681.1	198	248	565	487
transcript:AT2G09155.1	0	0	0	0
transcript:AT2G09215.1	26	30	34	41
transcript:AT2G41312.2	0	0	0	0
transcript:AT2G41312.1	0	1	0	0
transcript:AT2G09365.1	0	0	0	0
transcript:AT2G42388.1	1	0	0	0
transcript:AT2G42425.1	0	0	0	0
transcript:AT2G42485.1	68	51	60	70
transcript:AT2G09395.1	166	209	400	390
transcript:AT2G09400.1	38	39	89	55
transcript:AT2G43375.1	63	67	47	52
transcript:AT2G09475.1	0	0	0	0
transcript:AT2G44995.1	38	29	35	26
transcript:AT2G45023.1	3	0	0	0
transcript:AT2G45023.2	0	0	0	0
transcript:AT2G45245.3	0	1	0	2
transcript:AT2G45245.4	1	2	11	6
transcript:AT2G45245.2	0	0	0	0
transcript:AT2G45245.1	0	0	0	0
transcript:AT2G45780.1	2	4	2	8
transcript:AT2G09675.1	27	38	53	44
transcript:AT2G46192.1	90	73	66	46
transcript:AT2G09735.1	410	399	467	531
transcript:AT2G09785.1	478	520	640	666
transcript:AT3G00980.1	12	2	6	5
transcript:AT3G01005.1	52	32	74	102
transcript:AT3G01135.1	70	83	82	64
transcript:AT3G02832.1	72	37	28	43
transcript:AT3G04485.1	41	64	56	44
transcript:AT3G01525.1	49	67	73	63
transcript:AT3G01605.1	12	20	37	40
transcript:AT3G05152.1	0	0	8	6
transcript:AT3G01615.1	17	19	15	18
transcript:AT3G06125.2	0	0	0	0
transcript:AT3G06125.3	0	0	0	0
transcript:AT3G06125.1	1	3	0	0
transcript:AT3G01905.1	43	47	41	33
transcript:AT3G06962.1	4	0	7	4
transcript:AT3G01925.1	12	10	14	14
transcript:AT3G07215.4	1	0	3	0
transcript:AT3G07215.3	0	0	0	0
transcript:AT3G07215.2	0	0	0	0
transcript:AT3G07215.1	0	0	0	0
transcript:AT3G02075.1	16	20	4	15
transcript:AT3G02115.1	106	89	169	182
transcript:AT3G11415.1	2	7	1	0
transcript:AT3G02475.1	3	6	4	3
transcript:AT3G02565.1	64	64	89	91
transcript:AT3G02585.1	21	35	40	26
transcript:AT3G12965.1	227	311	317	380
transcript:AT3G13277.1	112	141	136	108
transcript:AT3G14185.1	2	2	0	4
transcript:AT3G03065.1	0	0	0	0
transcript:AT3G15536.1	0	0	233	127
transcript:AT3G03155.1	10	17	26	15
transcript:AT3G03155.2	32	33	32	27
transcript:AT3G17185.1	0	0	0	0
transcript:AT3G17185.2	0	0	0	0
transcript:AT3G18362.1	0	0	0	0
transcript:AT3G18362.2	0	0	0	0
transcript:AT3G03695.1	0	0	0	0
transcript:AT3G03745.1	30	33	38	42
transcript:AT3G04195.1	13	11	27	23
transcript:AT3G04355.1	30	29	50	66
transcript:AT3G04535.1	0	0	0	0
transcript:AT3G04685.1	114	115	62	70
transcript:AT3G25795.1	2	8	4	2
transcript:AT3G26612.1	61	84	110	137
transcript:AT3G05185.1	0	0	0	0
transcript:AT3G05215.1	0	0	0	0
transcript:AT3G27884.2	0	0	0	0
transcript:AT3G27884.3	0	0	0	0
