# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "ncRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_ncRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G04057.1	1	276543	276729	+	187	1	4	8	5	3	4	4	3
transcript:AT1G04425.1	1	1194187	1196889	+	2703	59	41	80	63	109	66	27	60
transcript:AT1G10682.1	1	3544913	3545614	-	702	630	728	769	827	924	967	660	612
transcript:AT1G11175.1	1	3744858	3745655	+	798	225	268	239	240	163	151	329	277
transcript:AT1G11185.1	1	3749510	3750035	+	526	70	72	50	54	79	62	72	54
transcript:AT1G11592.2	1	3895179	3896917	-	1739	0	2	0	0	3	0	1	2
transcript:AT1G11592.1	1	3895268	3896934	-	1667	1	0	0	0	0	0	0	0
transcript:AT1G04867.1	1	3943179	3943430	+	252	0	0	0	0	0	0	0	0
transcript:AT1G14518.1	1	4966810	4967493	-	684	1	3	0	0	0	0	0	0
transcript:AT1G15405.1	1	5297875	5298166	-	292	45	19	55	26	20	57	38	31
transcript:AT1G16635.1	1	5685503	5686368	-	866	6	8	2	9	1	12	2	0
transcript:AT1G05257.1	1	5726556	5726671	+	116	9	9	11	8	12	6	3	10
transcript:AT1G05353.1	1	6151974	6152170	+	197	16	10	3	16	4	0	10	10
transcript:AT1G18745.1	1	6465487	6466454	-	968	77	86	116	98	130	104	75	126
transcript:AT1G05463.1	1	6608326	6608519	-	194	26	42	22	30	50	31	41	39
transcript:AT1G19968.1	1	6930261	6930985	+	725	4	3	8	2	0	0	0	6
transcript:AT1G05547.1	1	7050831	7051140	+	310	2	0	0	0	0	0	0	0
transcript:AT1G21529.1	1	7543924	7544678	-	755	2	4	4	0	36	14	12	3
transcript:AT1G05697.1	1	7739737	7739935	+	199	0	0	0	0	0	0	0	0
transcript:AT1G22403.2	1	7908568	7909708	-	1141	3	8	8	5	9	12	7	6
transcript:AT1G22403.1	1	7908569	7909509	-	941	0	0	0	0	0	0	0	0
transcript:AT1G23052.1	1	8168443	8169267	-	825	245	282	183	261	48	64	217	354
transcript:AT1G05813.1	1	8305917	8306115	-	199	0	0	0	0	4	0	0	0
transcript:AT1G24068.1	1	8515506	8515971	+	466	0	0	0	0	0	2	4	0
transcript:AT1G25175.2	1	8826983	8829682	+	2700	0	0	0	0	0	0	0	0
transcript:AT1G25175.3	1	8826983	8829682	+	2700	0	0	0	0	0	0	0	0
transcript:AT1G25175.4	1	8826983	8829682	+	2700	0	0	0	0	0	0	0	0
transcript:AT1G25175.1	1	8826983	8829682	+	2700	0	0	0	0	0	0	0	0
transcript:AT1G25175.5	1	8827063	8829632	+	2570	0	0	0	0	0	0	0	0
transcript:AT1G26235.1	1	9076447	9076572	-	126	5	2	1	0	5	2	0	0
transcript:AT1G26558.1	1	9175611	9177556	+	1946	0	0	0	0	0	0	0	0
transcript:AT1G26558.2	1	9175642	9177598	+	1957	0	0	0	0	0	0	0	0
transcript:AT1G31258.1	1	11171225	11171835	+	611	33	33	44	55	51	61	47	40
transcript:AT1G31935.1	1	11469482	11470010	+	529	62	75	89	66	28	4	78	128
transcript:AT1G32172.1	1	11578506	11580547	+	2042	4	5	5	4	10	2	2	4
transcript:AT1G06677.1	1	12184200	12184398	-	199	0	0	0	0	0	0	1	0
transcript:AT1G33615.6	1	12192651	12197020	-	4370	9	1	7	4	5	6	4	5
transcript:AT1G33615.1	1	12193047	12196153	-	3107	0	0	0	0	0	0	0	0
transcript:AT1G33615.5	1	12193047	12196736	-	3690	0	0	0	0	0	0	0	0
transcript:AT1G33615.4	1	12193085	12196469	-	3385	0	0	0	0	0	0	0	0
transcript:AT1G33615.2	1	12193200	12196548	-	3349	0	0	0	0	0	0	0	0
transcript:AT1G33615.3	1	12193202	12196469	-	3268	0	0	0	0	0	0	0	0
transcript:AT1G34392.1	1	12560460	12561315	-	856	0	0	0	0	0	0	0	0
