Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
gene:AT1G03987	0	0	0	0
gene:AT1G03993	52	87	141	144
gene:AT1G01046	7	7	4	11
gene:AT1G03997	0	0	0	0
gene:AT1G04003	0	0	0	0
gene:AT1G04007	81	68	94	75
gene:AT1G04013	146	196	139	196
gene:AT1G01183	0	0	0	0
gene:AT1G04017	17	35	19	21
gene:AT1G04023	10	13	11	9
gene:AT1G01270	0	0	0	0
gene:AT1G01448	260	275	197	244
gene:AT1G04027	2	2	5	3
gene:AT1G04033	0	0	0	0
gene:AT1G04037	4	4	2	2
gene:AT1G04043	0	0	0	0
gene:AT1G04047	4	33	14	35
gene:AT1G04053	67	106	22	32
gene:AT1G04057	1	4	3	4
gene:AT1G04063	0	0	0	1
gene:AT1G04067	32	16	13	9
gene:AT1G04073	12	33	16	10
gene:AT1G01870	0	0	0	0
gene:AT1G01890	0	0	0	0
gene:AT1G04077	101	59	80	125
gene:AT1G04083	45	36	55	37
gene:AT1G04087	0	0	0	0
gene:AT1G04093	0	0	1	0
gene:AT1G04097	62	81	129	122
gene:AT1G04103	4	1	23	6
gene:AT1G04117	133	129	134	103
gene:AT1G04123	1	0	10	5
gene:AT1G02480	0	0	0	0
gene:AT1G04127	0	0	0	0
gene:AT1G02600	0	0	0	0
gene:AT1G04133	27	47	0	0
gene:AT1G04137	0	0	0	0
gene:AT1G04143	0	0	0	0
gene:AT1G02760	0	0	0	0
gene:AT1G04147	30	21	3	6
gene:AT1G04153	0	0	0	0
gene:AT1G02952	64	86	97	84
gene:AT1G04157	58	54	21	6
gene:AT1G04163	69	89	40	49
gene:AT1G04167	0	0	0	0
gene:AT1G04173	4	5	5	3
gene:AT1G04177	0	2	0	1
gene:AT1G04183	433	482	379	415
gene:AT1G04187	4	3	8	10
gene:AT1G04193	2	2	0	1
gene:AT1G03502	6	3	6	2
gene:AT1G03506	8	11	2	2
gene:AT1G04197	3	2	1	1
gene:AT1G03515	0	0	0	0
gene:AT1G03545	133	142	131	118
gene:AT1G03570	0	0	0	0
gene:AT1G03640	0	0	0	0
