# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "tRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_tRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G01270.1	1	111890	111961	-	72	0	0	0	0	0	0	0	0
transcript:AT1G01870.1	1	306384	306456	+	73	0	0	0	0	0	0	0	0
transcript:AT1G01890.1	1	309275	309347	-	73	0	0	0	0	0	0	0	0
transcript:AT1G02480.1	1	515494	515566	+	73	0	0	0	0	0	0	0	0
transcript:AT1G02600.1	1	552640	552711	+	72	0	0	0	0	0	0	0	0
transcript:AT1G02760.1	1	604402	604474	+	73	0	0	0	0	0	0	0	0
transcript:AT1G03515.1	1	877648	877719	+	72	0	0	0	0	0	0	0	0
transcript:AT1G03570.1	1	892514	892585	+	72	0	0	0	0	0	0	0	0
transcript:AT1G03640.1	1	909811	909883	-	73	0	0	0	0	0	0	0	0
transcript:AT1G04320.1	1	1159023	1159093	+	71	0	0	0	0	0	0	0	0
transcript:AT1G04720.1	1	1324923	1325007	+	85	0	0	0	0	0	0	0	0
transcript:AT1G05390.1	1	1583772	1583845	-	74	0	0	0	0	0	0	0	0
transcript:AT1G05980.1	1	1817400	1817471	+	72	0	0	0	0	0	0	0	0
transcript:AT1G06480.1	1	1978084	1978157	+	74	0	0	0	0	0	0	0	0
transcript:AT1G06610.1	1	2025356	2025428	+	73	0	0	0	0	0	0	0	0
transcript:AT1G06860.1	1	2107398	2107468	-	71	0	2	0	0	0	0	0	0
transcript:AT1G06880.1	1	2111148	2111218	-	71	0	0	0	0	0	0	0	0
transcript:AT1G07100.1	1	2177885	2177958	+	74	0	0	0	0	0	0	0	0
transcript:AT1G07580.1	1	2334822	2334894	+	73	0	0	0	0	0	0	0	0
transcript:AT1G07760.1	1	2406834	2406905	-	72	0	0	0	0	0	0	0	0
transcript:AT1G08240.1	1	2588525	2588596	+	72	0	0	0	0	0	0	0	0
transcript:AT1G08870.1	1	2846536	2846608	-	73	0	0	0	0	0	0	0	0
transcript:AT1G08950.1	1	2879303	2879374	+	72	0	0	0	0	0	0	0	0
