# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "snRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_snRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G04263.1	1	1215731	1215831	-	101	10	3	4	2	3	10	4	2
transcript:AT1G08115.1	1	2538074	2538238	-	165	7	9	14	6	4	13	13	16
transcript:AT1G04733.1	1	3180548	3180736	-	189	61	83	44	79	119	200	78	63
transcript:AT1G04897.1	1	4006868	4007020	-	153	4	0	2	0	2	0	0	0
transcript:AT1G04907.1	1	4007237	4007396	-	160	0	2	2	0	4	0	2	0
transcript:AT1G05057.1	1	4842275	4842469	+	195	10	11	13	11	18	48	28	25
transcript:AT1G05273.1	1	5758382	5758575	+	194	39	34	25	34	73	90	36	27
transcript:AT1G05673.1	1	7491379	7491489	-	111	0	0	0	0	0	0	0	0
transcript:AT1G05853.1	1	8525104	8525204	-	101	0	0	4	2	4	1	2	2
transcript:AT1G06873.1	1	12986823	12986908	+	86	2	1	0	0	0	0	1	0
transcript:AT1G06877.1	1	12987190	12987313	+	124	1	8	1	4	1	0	0	5
transcript:AT1G07537.1	1	18222202	18222354	-	153	0	0	1	0	0	0	0	0
transcript:AT1G07827.1	1	19596399	19596476	+	78	0	0	0	0	0	1	0	0
transcript:AT1G07883.1	1	19960486	19960538	-	53	4	2	4	9	5	4	3	9
transcript:AT1G61275.1	1	22603121	22603295	+	175	19	5	8	6	14	13	16	7
transcript:AT1G08367.1	1	22606786	22606960	+	175	0	0	0	0	0	0	0	0
transcript:AT1G08737.1	1	24194483	24194586	+	104	3	2	0	0	2	1	2	2
transcript:AT1G08987.1	1	25647323	25647396	+	74	1	0	0	2	0	0	0	0
transcript:AT1G09143.1	1	26433397	26433497	+	101	61	38	41	52	38	38	38	54
transcript:AT1G09237.1	1	26895256	26895298	+	43	0	0	0	0	0	0	0	0
transcript:AT1G09893.1	1	29928448	29928543	-	96	47	49	72	59	53	61	55	35
transcript:AT1G09947.1	1	30086032	30086168	+	137	0	0	0	0	0	0	0	0
